BIN_10.genome.CDS.2129,group04475
BIN_10.genome.CDS.1243,group00115
BIN_10.genome.CDS.1245,group00145
BIN_10.genome.CDS.1244,group00175
BIN_10.genome.CDS.1247,group00244
BIN_10.genome.CDS.1249,group07142
BIN_10.genome.CDS.1248,group00708
BIN_10.genome.CDS.1807,group12495
BIN_10.genome.CDS.371,group14013
BIN_10.genome.CDS.1805,group00797
BIN_10.genome.CDS.1803,group00310
BIN_10.genome.CDS.1969,group00373
BIN_10.genome.CDS.1801,group01918
BIN_10.genome.CDS.1800,group00027
BIN_10.genome.CDS.1964,group00027
BIN_10.genome.CDS.1965,group02673
BIN_10.genome.CDS.1966,group00450
BIN_10.genome.CDS.1967,group08676
BIN_10.genome.CDS.1960,group00641
BIN_10.genome.CDS.1848,group00350
BIN_10.genome.CDS.1962,group00225
BIN_10.genome.CDS.1963,group00240
BIN_10.genome.CDS.1382,group00053
BIN_10.genome.CDS.1215,group06644
BIN_10.genome.CDS.1228,group00551
BIN_10.genome.CDS.1986,group03377
BIN_10.genome.CDS.1987,group01106
BIN_10.genome.CDS.1984,group00029
BIN_10.genome.CDS.1985,group00956
BIN_10.genome.CDS.1982,group12884
BIN_10.genome.CDS.1983,group04175
BIN_10.genome.CDS.1980,group12857
BIN_10.genome.CDS.1668,group00251
BIN_10.genome.CDS.1667,group00286
BIN_10.genome.CDS.1666,group00220
BIN_10.genome.CDS.1664,group00237
BIN_10.genome.CDS.1663,group09140
BIN_10.genome.CDS.1662,group00322
BIN_10.genome.CDS.1988,group03023
BIN_10.genome.CDS.1989,group00787
BIN_10.genome.CDS.1744,group00246
BIN_10.genome.CDS.1591,group07485
BIN_10.genome.CDS.1746,group06542
BIN_10.genome.CDS.1747,group00186
BIN_10.genome.CDS.64,group00799
BIN_10.genome.CDS.1741,group00317
BIN_10.genome.CDS.1742,group00765
BIN_10.genome.CDS.67,group01760
BIN_10.genome.CDS.384,group00399
BIN_10.genome.CDS.1946,group04819
BIN_10.genome.CDS.1295,group01124
BIN_10.genome.CDS.380,group07471
BIN_10.genome.CDS.1749,group00126
BIN_10.genome.CDS.382,group05128
BIN_10.genome.CDS.1961,group01032
BIN_10.genome.CDS.2102,group02783
BIN_10.genome.CDS.274,group00918
BIN_10.genome.CDS.1503,group01495
BIN_10.genome.CDS.2079,group09010
BIN_10.genome.CDS.1118,group00686
BIN_10.genome.CDS.2171,group13099
BIN_10.genome.CDS.256,group01456
BIN_10.genome.CDS.276,group01648
BIN_10.genome.CDS.2166,group00367
BIN_10.genome.CDS.708,group00592
BIN_10.genome.CDS.1573,group10353
BIN_10.genome.CDS.259,group00961
BIN_10.genome.CDS.1572,group00253
BIN_10.genome.CDS.816,group00438
BIN_10.genome.CDS.1188,group00117
BIN_10.genome.CDS.1189,group00517
BIN_10.genome.CDS.1186,group00684
BIN_10.genome.CDS.1187,group01992
BIN_10.genome.CDS.1184,group00319
BIN_10.genome.CDS.1570,group00539
BIN_10.genome.CDS.1182,group04455
BIN_10.genome.CDS.1180,group01138
BIN_10.genome.CDS.2161,group00505
BIN_10.genome.CDS.2160,group00553
BIN_10.genome.CDS.2163,group00800
BIN_10.genome.CDS.2162,group00527
BIN_10.genome.CDS.2165,group00252
BIN_10.genome.CDS.2164,group00376
BIN_10.genome.CDS.2167,group00296
BIN_10.genome.CDS.2072,group13691
BIN_10.genome.CDS.2169,group00290
BIN_10.genome.CDS.2168,group00412
BIN_10.genome.CDS.1276,group01048
BIN_10.genome.CDS.1834,group00072
BIN_10.genome.CDS.775,group00969
BIN_10.genome.CDS.1905,group00515
BIN_10.genome.CDS.771,group00231
BIN_10.genome.CDS.1733,group00335
BIN_10.genome.CDS.1270,group00584
BIN_10.genome.CDS.672,group00573
BIN_10.genome.CDS.1903,group01014
BIN_10.genome.CDS.1340,group06963
BIN_10.genome.CDS.176,group12370
BIN_10.genome.CDS.1342,group00804
BIN_10.genome.CDS.1343,group02454
BIN_10.genome.CDS.1344,group00473
BIN_10.genome.CDS.1345,group07309
BIN_10.genome.CDS.1346,group00810
BIN_10.genome.CDS.1347,group00694
BIN_10.genome.CDS.1348,group10600
BIN_10.genome.CDS.1349,group01042
BIN_10.genome.CDS.1273,group00720
BIN_10.genome.CDS.1260,group00472
BIN_10.genome.CDS.876,group12578
BIN_10.genome.CDS.2019,group13701
BIN_10.genome.CDS.2131,group00034
BIN_10.genome.CDS.2015,group01080
BIN_10.genome.CDS.2017,group01053
BIN_10.genome.CDS.2016,group13878
BIN_10.genome.CDS.2011,group02333
BIN_10.genome.CDS.2010,group08279
BIN_10.genome.CDS.2013,group00345
BIN_10.genome.CDS.2012,group07333
BIN_10.genome.CDS.1978,group00325
BIN_10.genome.CDS.921,group04116
BIN_10.genome.CDS.294,group12531
BIN_10.genome.CDS.2062,group00054
BIN_10.genome.CDS.1115,group01344
BIN_10.genome.CDS.1114,group05665
BIN_10.genome.CDS.1117,group11197
BIN_10.genome.CDS.1116,group02104
BIN_10.genome.CDS.1111,group00611
BIN_10.genome.CDS.1110,group01573
BIN_10.genome.CDS.1113,group00328
BIN_10.genome.CDS.1112,group02017
BIN_10.genome.CDS.1389,group00544
BIN_10.genome.CDS.1528,group00547
BIN_10.genome.CDS.1119,group11842
BIN_10.genome.CDS.1878,group00570
BIN_10.genome.CDS.1529,group00484
BIN_10.genome.CDS.458,group00094
BIN_10.genome.CDS.1645,group06511
BIN_10.genome.CDS.1970,group00361
BIN_10.genome.CDS.1441,group02778
BIN_10.genome.CDS.516,group12710
BIN_10.genome.CDS.1647,group12382
BIN_10.genome.CDS.457,group12543
BIN_10.genome.CDS.1446,group07129
BIN_10.genome.CDS.1445,group00510
BIN_10.genome.CDS.1310,group12975
BIN_10.genome.CDS.1443,group01705
BIN_10.genome.CDS.1442,group02097
BIN_10.genome.CDS.1838,group00841
BIN_10.genome.CDS.1839,group00454
BIN_10.genome.CDS.1836,group06287
BIN_10.genome.CDS.1837,group06006
BIN_10.genome.CDS.1526,group06333
BIN_10.genome.CDS.1835,group00986
BIN_10.genome.CDS.1832,group00589
BIN_10.genome.CDS.1833,group00652
BIN_10.genome.CDS.1522,group00261
BIN_10.genome.CDS.1831,group00391
BIN_10.genome.CDS.1849,group00608
BIN_10.genome.CDS.1527,group11178
BIN_10.genome.CDS.1643,group00524
BIN_10.genome.CDS.1258,group00030
BIN_10.genome.CDS.1304,group00875
BIN_10.genome.CDS.1843,group00942
BIN_10.genome.CDS.1520,group00305
BIN_10.genome.CDS.1841,group13628
BIN_10.genome.CDS.1840,group00384
BIN_10.genome.CDS.1847,group00266
BIN_10.genome.CDS.1846,group00671
BIN_10.genome.CDS.1845,group00903
BIN_10.genome.CDS.1521,group00599
BIN_10.genome.CDS.1376,group00568
BIN_10.genome.CDS.1830,group07168
BIN_10.genome.CDS.1763,group00285
BIN_10.genome.CDS.1448,group00649
BIN_10.genome.CDS.1760,group00074
BIN_10.genome.CDS.1238,group00064
BIN_10.genome.CDS.1239,group00062
BIN_10.genome.CDS.1230,group00658
BIN_10.genome.CDS.1231,group02010
BIN_10.genome.CDS.1232,group00347
BIN_10.genome.CDS.1233,group00346
BIN_10.genome.CDS.1235,group00345
BIN_10.genome.CDS.1236,group00276
BIN_10.genome.CDS.1767,group00214
BIN_10.genome.CDS.1788,group00457
BIN_10.genome.CDS.1789,group00520
BIN_10.genome.CDS.1621,group00795
BIN_10.genome.CDS.1620,group00203
BIN_10.genome.CDS.1627,group00724
BIN_10.genome.CDS.1626,group04803
BIN_10.genome.CDS.1625,group00528
BIN_10.genome.CDS.1624,group00637
BIN_10.genome.CDS.1780,group00663
BIN_10.genome.CDS.1629,group00005
BIN_10.genome.CDS.1783,group00864
BIN_10.genome.CDS.1784,group00342
BIN_10.genome.CDS.1785,group04318
BIN_10.genome.CDS.1787,group00282
BIN_10.genome.CDS.1937,group00103
BIN_10.genome.CDS.1936,group12573
BIN_10.genome.CDS.1935,group06707
BIN_10.genome.CDS.1934,group00751
BIN_10.genome.CDS.1933,group00359
BIN_10.genome.CDS.1932,group00315
BIN_10.genome.CDS.1931,group06264
BIN_10.genome.CDS.1930,group08416
BIN_10.genome.CDS.1312,group07301
BIN_10.genome.CDS.1939,group07740
BIN_10.genome.CDS.1938,group01820
BIN_10.genome.CDS.1842,group04814
BIN_10.genome.CDS.420,group00990
BIN_10.genome.CDS.1743,group00090
BIN_10.genome.CDS.1656,group00044
BIN_10.genome.CDS.1657,group00375
BIN_10.genome.CDS.1654,group00260
BIN_10.genome.CDS.1655,group00767
BIN_10.genome.CDS.1300,group00036
BIN_10.genome.CDS.1301,group00552
BIN_10.genome.CDS.1302,group01172
BIN_10.genome.CDS.1651,group05283
BIN_10.genome.CDS.1717,group10155
BIN_10.genome.CDS.1716,group00571
BIN_10.genome.CDS.1715,group00456
BIN_10.genome.CDS.1714,group00476
BIN_10.genome.CDS.1713,group05272
BIN_10.genome.CDS.1712,group00046
BIN_10.genome.CDS.1711,group11641
BIN_10.genome.CDS.1710,group01487
BIN_10.genome.CDS.2213,group00489
BIN_10.genome.CDS.2208,group01000
BIN_10.genome.CDS.1844,group02889
BIN_10.genome.CDS.909,group07897
BIN_10.genome.CDS.2204,group00202
BIN_10.genome.CDS.2205,group00306
BIN_10.genome.CDS.2206,group00284
BIN_10.genome.CDS.2207,group00382
BIN_10.genome.CDS.2200,group00362
BIN_10.genome.CDS.2201,group00394
BIN_10.genome.CDS.2202,group01829
BIN_10.genome.CDS.2203,group00202
BIN_10.genome.CDS.229,group00055
BIN_10.genome.CDS.2210,group00545
BIN_10.genome.CDS.221,group01586
BIN_10.genome.CDS.1328,group00093
BIN_10.genome.CDS.1329,group00055
BIN_10.genome.CDS.1897,group00017
BIN_10.genome.CDS.2118,group00483
BIN_10.genome.CDS.2119,group00018
BIN_10.genome.CDS.2110,group00786
BIN_10.genome.CDS.1999,group00974
BIN_10.genome.CDS.2112,group00270
BIN_10.genome.CDS.2113,group00726
BIN_10.genome.CDS.2114,group00650
BIN_10.genome.CDS.2115,group00997
BIN_10.genome.CDS.2116,group00185
BIN_10.genome.CDS.1998,group13223
BIN_10.genome.CDS.2051,group00119
BIN_10.genome.CDS.2050,group01305
BIN_10.genome.CDS.2053,group00780
BIN_10.genome.CDS.2052,group00991
BIN_10.genome.CDS.2055,group00506
BIN_10.genome.CDS.2054,group00269
BIN_10.genome.CDS.2057,group00388
BIN_10.genome.CDS.1323,group00091
BIN_10.genome.CDS.2059,group10095
BIN_10.genome.CDS.2058,group05294
BIN_10.genome.CDS.1920,group02786
BIN_10.genome.CDS.1790,group00581
BIN_10.genome.CDS.1327,group00092
BIN_10.genome.CDS.1159,group00277
BIN_10.genome.CDS.1158,group00355
BIN_10.genome.CDS.1151,group00633
BIN_10.genome.CDS.1150,group00952
BIN_10.genome.CDS.1153,group12563
BIN_10.genome.CDS.1152,group11221
BIN_10.genome.CDS.1155,group00703
BIN_10.genome.CDS.1154,group00674
BIN_10.genome.CDS.1157,group07147
BIN_10.genome.CDS.1156,group00999
BIN_10.genome.CDS.1185,group01733
BIN_10.genome.CDS.1532,group12541
BIN_10.genome.CDS.1409,group00826
BIN_10.genome.CDS.1408,group00045
BIN_10.genome.CDS.1403,group00155
BIN_10.genome.CDS.1402,group04347
BIN_10.genome.CDS.1401,group00127
BIN_10.genome.CDS.1400,group00879
BIN_10.genome.CDS.1407,group00100
BIN_10.genome.CDS.1406,group00131
BIN_10.genome.CDS.1405,group00783
BIN_10.genome.CDS.1404,group00567
BIN_10.genome.CDS.2018,group01112
BIN_10.genome.CDS.2111,group00912
BIN_10.genome.CDS.1531,group13890
BIN_10.genome.CDS.2189,group07304
BIN_10.genome.CDS.2188,group01291
BIN_10.genome.CDS.2187,group04822
BIN_10.genome.CDS.2186,group00274
BIN_10.genome.CDS.2185,group03019
BIN_10.genome.CDS.2184,group00273
BIN_10.genome.CDS.2183,group00208
BIN_10.genome.CDS.2182,group00151
BIN_10.genome.CDS.2181,group00095
BIN_10.genome.CDS.2180,group00977
BIN_10.genome.CDS.1478,group00415
BIN_10.genome.CDS.1479,group00490
BIN_10.genome.CDS.1476,group05269
BIN_10.genome.CDS.1477,group00556
BIN_10.genome.CDS.1475,group00311
BIN_10.genome.CDS.1472,group03010
BIN_10.genome.CDS.1473,group01993
BIN_10.genome.CDS.1530,group10443
BIN_10.genome.CDS.1471,group03017
BIN_10.genome.CDS.1577,group12616
BIN_10.genome.CDS.1575,group09638
BIN_10.genome.CDS.1574,group02765
BIN_10.genome.CDS.1278,group03388
BIN_10.genome.CDS.1279,group09913
BIN_10.genome.CDS.1908,group00737
BIN_10.genome.CDS.1909,group00141
BIN_10.genome.CDS.1906,group00004
BIN_10.genome.CDS.1907,group00016
BIN_10.genome.CDS.1904,group00635
BIN_10.genome.CDS.1277,group09060
BIN_10.genome.CDS.1902,group01812
BIN_10.genome.CDS.1271,group12500
BIN_10.genome.CDS.1272,group00519
BIN_10.genome.CDS.1578,group00167
BIN_10.genome.CDS.1872,group02760
BIN_10.genome.CDS.1873,group02336
BIN_10.genome.CDS.1979,group12857
BIN_10.genome.CDS.1871,group08192
BIN_10.genome.CDS.1876,group00056
BIN_10.genome.CDS.1877,group00542
BIN_10.genome.CDS.1874,group00011
BIN_10.genome.CDS.1875,group00636
BIN_10.genome.CDS.1973,group08668
BIN_10.genome.CDS.1972,group00014
BIN_10.genome.CDS.1971,group00612
BIN_10.genome.CDS.1879,group02868
BIN_10.genome.CDS.1977,group00495
BIN_10.genome.CDS.1976,group00007
BIN_10.genome.CDS.1975,group00096
BIN_10.genome.CDS.1974,group00316
BIN_10.genome.CDS.546,group00020
BIN_10.genome.CDS.540,group12547
BIN_10.genome.CDS.2032,group00892
BIN_10.genome.CDS.1995,group12580
BIN_10.genome.CDS.1994,group01700
BIN_10.genome.CDS.1618,group00026
BIN_10.genome.CDS.1996,group00951
BIN_10.genome.CDS.1991,group06053
BIN_10.genome.CDS.1990,group00814
BIN_10.genome.CDS.1993,group00858
BIN_10.genome.CDS.1992,group01482
BIN_10.genome.CDS.1612,group00480
BIN_10.genome.CDS.1613,group00138
BIN_10.genome.CDS.1610,group00133
BIN_10.genome.CDS.1611,group00831
BIN_10.genome.CDS.1616,group00140
BIN_10.genome.CDS.1617,group00140
BIN_10.genome.CDS.1614,group00153
BIN_10.genome.CDS.1615,group00221
BIN_10.genome.CDS.1753,group04024
BIN_10.genome.CDS.1752,group08483
BIN_10.genome.CDS.1751,group00065
BIN_10.genome.CDS.1750,group00146
BIN_10.genome.CDS.1757,group00111
BIN_10.genome.CDS.1756,group09064
BIN_10.genome.CDS.1755,group00147
BIN_10.genome.CDS.1754,group00066
BIN_10.genome.CDS.1759,group00802
BIN_10.genome.CDS.1758,group00067
BIN_10.genome.CDS.1782,group01007
BIN_10.genome.CDS.1628,group00644
BIN_10.genome.CDS.1887,group00562
BIN_10.genome.CDS.1923,group04817
BIN_10.genome.CDS.1588,group13627
BIN_10.genome.CDS.1589,group00531
BIN_10.genome.CDS.1305,group00177
BIN_10.genome.CDS.1582,group00735
BIN_10.genome.CDS.1583,group00340
BIN_10.genome.CDS.1580,group00704
BIN_10.genome.CDS.264,group04826
BIN_10.genome.CDS.1586,group06350
BIN_10.genome.CDS.1587,group00890
BIN_10.genome.CDS.1584,group00629
BIN_10.genome.CDS.1585,group00233
BIN_10.genome.CDS.1726,group11729
BIN_10.genome.CDS.1727,group07896
BIN_10.genome.CDS.1724,group00196
BIN_10.genome.CDS.1725,group00101
BIN_10.genome.CDS.1199,group01337
BIN_10.genome.CDS.1723,group00295
BIN_10.genome.CDS.1720,group00591
BIN_10.genome.CDS.1721,group00173
BIN_10.genome.CDS.1195,group02328
BIN_10.genome.CDS.1194,group10917
BIN_10.genome.CDS.1197,group01127
BIN_10.genome.CDS.1196,group01008
BIN_10.genome.CDS.1191,group00680
BIN_10.genome.CDS.1190,group00983
BIN_10.genome.CDS.1728,group00085
BIN_10.genome.CDS.1192,group01088
BIN_10.genome.CDS.285,group00264
BIN_10.genome.CDS.286,group00061
BIN_10.genome.CDS.2158,group03234
BIN_10.genome.CDS.2159,group00665
BIN_10.genome.CDS.2155,group00877
BIN_10.genome.CDS.2156,group00876
BIN_10.genome.CDS.2157,group00647
BIN_10.genome.CDS.2150,group00813
BIN_10.genome.CDS.2151,group00832
BIN_10.genome.CDS.2152,group00722
BIN_10.genome.CDS.2153,group00769
BIN_10.genome.CDS.943,group00431
BIN_10.genome.CDS.764,group12564
BIN_10.genome.CDS.1581,group00475
BIN_10.genome.CDS.1885,group01380
BIN_10.genome.CDS.1307,group00725
BIN_10.genome.CDS.2105,group04914
BIN_10.genome.CDS.1296,group01467
BIN_10.genome.CDS.1297,group03657
BIN_10.genome.CDS.163,group00645
BIN_10.genome.CDS.1292,group00292
BIN_10.genome.CDS.1293,group00124
BIN_10.genome.CDS.1290,group00168
BIN_10.genome.CDS.1358,group03306
BIN_10.genome.CDS.1356,group00380
BIN_10.genome.CDS.1355,group00272
BIN_10.genome.CDS.1354,group00443
BIN_10.genome.CDS.1353,group09179
BIN_10.genome.CDS.1352,group00212
BIN_10.genome.CDS.1351,group14054
BIN_10.genome.CDS.1350,group05742
BIN_10.genome.CDS.2028,group00576
BIN_10.genome.CDS.2029,group01036
BIN_10.genome.CDS.840,group07350
BIN_10.genome.CDS.2020,group00339
BIN_10.genome.CDS.2021,group00009
BIN_10.genome.CDS.2022,group00249
BIN_10.genome.CDS.2023,group07447
BIN_10.genome.CDS.2024,group01028
BIN_10.genome.CDS.2025,group05402
BIN_10.genome.CDS.2026,group00113
BIN_10.genome.CDS.2027,group00113
BIN_10.genome.CDS.1722,group08445
BIN_10.genome.CDS.1198,group00012
BIN_10.genome.CDS.1274,group08996
BIN_10.genome.CDS.1120,group02091
BIN_10.genome.CDS.1121,group00080
BIN_10.genome.CDS.1122,group00364
BIN_10.genome.CDS.1768,group00280
BIN_10.genome.CDS.1124,group00855
BIN_10.genome.CDS.1125,group07830
BIN_10.genome.CDS.1126,group00413
BIN_10.genome.CDS.1127,group00414
BIN_10.genome.CDS.1128,group04034
BIN_10.genome.CDS.1129,group00200
BIN_10.genome.CDS.2063,group00165
BIN_10.genome.CDS.445,group00000
BIN_10.genome.CDS.1806,group00850
BIN_10.genome.CDS.1275,group00565
BIN_10.genome.CDS.1432,group00829
BIN_10.genome.CDS.1433,group01405
BIN_10.genome.CDS.1539,group00667
BIN_10.genome.CDS.1538,group12774
BIN_10.genome.CDS.1829,group12865
BIN_10.genome.CDS.1437,group11549
BIN_10.genome.CDS.1434,group00351
BIN_10.genome.CDS.1435,group04798
BIN_10.genome.CDS.1825,group00701
BIN_10.genome.CDS.1968,group06605
BIN_10.genome.CDS.1827,group00760
BIN_10.genome.CDS.1729,group00041
BIN_10.genome.CDS.1537,group01516
BIN_10.genome.CDS.1536,group00632
BIN_10.genome.CDS.1535,group00278
BIN_10.genome.CDS.1802,group09184
BIN_10.genome.CDS.1640,group00010
BIN_10.genome.CDS.1928,group00387
BIN_10.genome.CDS.1671,group00752
BIN_10.genome.CDS.1510,group00846
BIN_10.genome.CDS.1303,group00058
BIN_10.genome.CDS.466,group01019
BIN_10.genome.CDS.459,group04827
BIN_10.genome.CDS.1210,group09227
BIN_10.genome.CDS.1038,group00331
BIN_10.genome.CDS.1890,group00224
BIN_10.genome.CDS.1891,group01384
BIN_10.genome.CDS.1892,group00985
BIN_10.genome.CDS.1893,group02275
BIN_10.genome.CDS.1894,group00740
BIN_10.genome.CDS.1895,group01421
BIN_10.genome.CDS.1896,group11180
BIN_10.genome.CDS.1549,group01083
BIN_10.genome.CDS.1898,group05409
BIN_10.genome.CDS.1547,group00794
BIN_10.genome.CDS.1544,group00371
BIN_10.genome.CDS.1545,group00247
BIN_10.genome.CDS.1542,group00330
BIN_10.genome.CDS.1306,group00512
BIN_10.genome.CDS.1540,group00197
BIN_10.genome.CDS.1541,group02857
BIN_10.genome.CDS.1227,group04042
BIN_10.genome.CDS.1226,group00559
BIN_10.genome.CDS.1225,group00393
BIN_10.genome.CDS.1224,group00374
BIN_10.genome.CDS.1388,group00207
BIN_10.genome.CDS.1809,group12822
BIN_10.genome.CDS.1221,group10214
BIN_10.genome.CDS.1220,group00731
BIN_10.genome.CDS.1384,group00083
BIN_10.genome.CDS.1652,group00546
BIN_10.genome.CDS.1386,group05119
BIN_10.genome.CDS.1808,group00302
BIN_10.genome.CDS.1380,group03973
BIN_10.genome.CDS.1381,group00349
BIN_10.genome.CDS.1229,group13086
BIN_10.genome.CDS.1383,group00083
BIN_10.genome.CDS.1942,group01395
BIN_10.genome.CDS.1943,group02537
BIN_10.genome.CDS.1940,group01396
BIN_10.genome.CDS.1941,group03227
BIN_10.genome.CDS.1811,group00948
BIN_10.genome.CDS.1719,group00630
BIN_10.genome.CDS.1944,group12572
BIN_10.genome.CDS.1945,group04818
BIN_10.genome.CDS.1948,group05421
BIN_10.genome.CDS.1949,group04821
BIN_10.genome.CDS.349,group00856
BIN_10.genome.CDS.343,group00757
BIN_10.genome.CDS.1313,group07107
BIN_10.genome.CDS.1644,group09326
BIN_10.genome.CDS.1311,group13813
BIN_10.genome.CDS.1769,group01754
BIN_10.genome.CDS.1317,group13631
BIN_10.genome.CDS.1316,group11624
BIN_10.genome.CDS.1315,group00557
BIN_10.genome.CDS.1314,group00557
BIN_10.genome.CDS.1308,group00427
BIN_10.genome.CDS.1319,group11426
BIN_10.genome.CDS.1318,group00771
BIN_10.genome.CDS.1649,group00762
BIN_10.genome.CDS.1648,group00934
BIN_10.genome.CDS.1764,group00174
BIN_10.genome.CDS.1309,group01241
BIN_10.genome.CDS.2218,group04825
BIN_10.genome.CDS.2124,group06573
BIN_10.genome.CDS.1658,group00891
BIN_10.genome.CDS.1237,group00960
BIN_10.genome.CDS.1605,group12706
BIN_10.genome.CDS.2212,group01178
BIN_10.genome.CDS.2211,group00621
BIN_10.genome.CDS.1659,group00128
BIN_10.genome.CDS.2217,group01020
BIN_10.genome.CDS.2216,group12411
BIN_10.genome.CDS.2215,group01149
BIN_10.genome.CDS.2214,group00357
BIN_10.genome.CDS.1797,group00616
BIN_10.genome.CDS.1796,group00595
BIN_10.genome.CDS.1795,group00594
BIN_10.genome.CDS.1794,group00522
BIN_10.genome.CDS.1793,group00610
BIN_10.genome.CDS.1792,group07649
BIN_10.genome.CDS.1791,group06192
BIN_10.genome.CDS.1819,group00915
BIN_10.genome.CDS.1799,group04032
BIN_10.genome.CDS.1798,group07889
BIN_10.genome.CDS.237,group00242
BIN_10.genome.CDS.1718,group00485
BIN_10.genome.CDS.233,group08563
BIN_10.genome.CDS.1000,group01113
BIN_10.genome.CDS.2209,group00363
BIN_10.genome.CDS.1164,group00889
BIN_10.genome.CDS.1165,group00308
BIN_10.genome.CDS.1166,group00353
BIN_10.genome.CDS.1167,group00574
BIN_10.genome.CDS.1160,group07954
BIN_10.genome.CDS.1161,group01030
BIN_10.genome.CDS.1162,group00025
BIN_10.genome.CDS.1163,group12582
BIN_10.genome.CDS.1439,group00947
BIN_10.genome.CDS.1211,group08124
BIN_10.genome.CDS.1168,group03988
BIN_10.genome.CDS.1169,group00692
BIN_10.genome.CDS.2107,group11291
BIN_10.genome.CDS.2106,group01034
BIN_10.genome.CDS.805,group00354
BIN_10.genome.CDS.2104,group01330
BIN_10.genome.CDS.2103,group00298
BIN_10.genome.CDS.2069,group00206
BIN_10.genome.CDS.2101,group09401
BIN_10.genome.CDS.2100,group08197
BIN_10.genome.CDS.2064,group00307
BIN_10.genome.CDS.2065,group00534
BIN_10.genome.CDS.2066,group00535
BIN_10.genome.CDS.2067,group00184
BIN_10.genome.CDS.2060,group00852
BIN_10.genome.CDS.2061,group00070
BIN_10.genome.CDS.2109,group04410
BIN_10.genome.CDS.2108,group00790
BIN_10.genome.CDS.654,group00894
BIN_10.genome.CDS.1669,group00372
BIN_10.genome.CDS.161,group03946
BIN_10.genome.CDS.1981,group11853
BIN_10.genome.CDS.157,group00365
BIN_10.genome.CDS.1366,group00917
BIN_10.genome.CDS.1364,group00897
BIN_10.genome.CDS.1365,group03121
BIN_10.genome.CDS.1362,group00896
BIN_10.genome.CDS.1363,group00897
BIN_10.genome.CDS.1361,group00820
BIN_10.genome.CDS.1368,group00844
BIN_10.genome.CDS.1369,group00821
BIN_10.genome.CDS.1359,group03306
BIN_10.genome.CDS.1919,group12567
BIN_10.genome.CDS.1291,group00513
BIN_10.genome.CDS.1444,group00171
BIN_10.genome.CDS.1661,group00279
BIN_10.genome.CDS.557,group13591
BIN_10.genome.CDS.1818,group00211
