AAA044D11.genome.CDS.2166,group01672
AAA044D11.genome.CDS.1697,group05318
AAA044D11.genome.CDS.1696,group03470
AAA044D11.genome.CDS.1691,group01759
AAA044D11.genome.CDS.1342,group00420
AAA044D11.genome.CDS.1693,group03086
AAA044D11.genome.CDS.1692,group01714
AAA044D11.genome.CDS.1568,group00195
AAA044D11.genome.CDS.1699,group01142
AAA044D11.genome.CDS.1698,group05756
AAA044D11.genome.CDS.1349,group00449
AAA044D11.genome.CDS.1348,group00448
AAA044D11.genome.CDS.1339,group00890
AAA044D11.genome.CDS.1924,group01208
AAA044D11.genome.CDS.1930,group01131
AAA044D11.genome.CDS.1564,group00484
AAA044D11.genome.CDS.1931,group00015
AAA044D11.genome.CDS.1932,group00832
AAA044D11.genome.CDS.2295,group00723
AAA044D11.genome.CDS.2209,group05916
AAA044D11.genome.CDS.2208,group01076
AAA044D11.genome.CDS.2203,group00617
AAA044D11.genome.CDS.1934,group02605
AAA044D11.genome.CDS.2201,group00393
AAA044D11.genome.CDS.2200,group00374
AAA044D11.genome.CDS.2207,group01390
AAA044D11.genome.CDS.2206,group01948
AAA044D11.genome.CDS.2205,group00710
AAA044D11.genome.CDS.1621,group00598
AAA044D11.genome.CDS.1440,group00715
AAA044D11.genome.CDS.1441,group00611
AAA044D11.genome.CDS.1442,group00688
AAA044D11.genome.CDS.1443,group00328
AAA044D11.genome.CDS.1444,group00616
AAA044D11.genome.CDS.1445,group00595
AAA044D11.genome.CDS.1446,group00594
AAA044D11.genome.CDS.1447,group00522
AAA044D11.genome.CDS.1448,group00610
AAA044D11.genome.CDS.1449,group00618
AAA044D11.genome.CDS.1623,group00318
AAA044D11.genome.CDS.1316,group00056
AAA044D11.genome.CDS.1282,group01896
AAA044D11.genome.CDS.1831,group00045
AAA044D11.genome.CDS.1280,group00422
AAA044D11.genome.CDS.1528,group00790
AAA044D11.genome.CDS.1286,group02059
AAA044D11.genome.CDS.1287,group01379
AAA044D11.genome.CDS.1284,group01298
AAA044D11.genome.CDS.1285,group00228
AAA044D11.genome.CDS.1433,group00897
AAA044D11.genome.CDS.1522,group00849
AAA044D11.genome.CDS.1521,group00975
AAA044D11.genome.CDS.1520,group00000
AAA044D11.genome.CDS.1527,group01310
AAA044D11.genome.CDS.1526,group00568
AAA044D11.genome.CDS.1525,group00073
AAA044D11.genome.CDS.1311,group00624
AAA044D11.genome.CDS.2056,group05435
AAA044D11.genome.CDS.2057,group00000
AAA044D11.genome.CDS.2054,group05531
AAA044D11.genome.CDS.2055,group02682
AAA044D11.genome.CDS.2052,group04003
AAA044D11.genome.CDS.1644,group00642
AAA044D11.genome.CDS.2119,group01078
AAA044D11.genome.CDS.2051,group05532
AAA044D11.genome.CDS.2117,group00843
AAA044D11.genome.CDS.1835,group01219
AAA044D11.genome.CDS.2115,group01435
AAA044D11.genome.CDS.2114,group01462
AAA044D11.genome.CDS.2113,group02771
AAA044D11.genome.CDS.2112,group02771
AAA044D11.genome.CDS.2058,group02398
AAA044D11.genome.CDS.2110,group01274
AAA044D11.genome.CDS.1848,group00427
AAA044D11.genome.CDS.1849,group00696
AAA044D11.genome.CDS.1844,group00490
AAA044D11.genome.CDS.1845,group00489
AAA044D11.genome.CDS.2007,group00680
AAA044D11.genome.CDS.1847,group00469
AAA044D11.genome.CDS.1840,group00528
AAA044D11.genome.CDS.1841,group00417
AAA044D11.genome.CDS.1842,group00739
AAA044D11.genome.CDS.1843,group01091
AAA044D11.genome.CDS.1830,group00872
AAA044D11.genome.CDS.1510,group00308
AAA044D11.genome.CDS.1239,group01485
AAA044D11.genome.CDS.1238,group03566
AAA044D11.genome.CDS.1237,group00500
AAA044D11.genome.CDS.1235,group02452
AAA044D11.genome.CDS.1511,group00353
AAA044D11.genome.CDS.1233,group00863
AAA044D11.genome.CDS.1232,group00383
AAA044D11.genome.CDS.1231,group00725
AAA044D11.genome.CDS.1230,group00512
AAA044D11.genome.CDS.367,group00884
AAA044D11.genome.CDS.973,group01947
AAA044D11.genome.CDS.2006,group00663
AAA044D11.genome.CDS.1948,group05915
AAA044D11.genome.CDS.1624,group00426
AAA044D11.genome.CDS.1625,group00389
AAA044D11.genome.CDS.1626,group00431
AAA044D11.genome.CDS.1933,group03105
AAA044D11.genome.CDS.1620,group01377
AAA044D11.genome.CDS.1935,group05494
AAA044D11.genome.CDS.1936,group05492
AAA044D11.genome.CDS.1937,group04118
AAA044D11.genome.CDS.1938,group05703
AAA044D11.genome.CDS.1939,group05909
AAA044D11.genome.CDS.1833,group05914
AAA044D11.genome.CDS.1832,group01128
AAA044D11.genome.CDS.1628,group00089
AAA044D11.genome.CDS.1834,group00009
AAA044D11.genome.CDS.1837,group01038
AAA044D11.genome.CDS.1836,group01250
AAA044D11.genome.CDS.2019,group05220
AAA044D11.genome.CDS.1451,group00580
AAA044D11.genome.CDS.1450,group00619
AAA044D11.genome.CDS.1769,group00097
AAA044D11.genome.CDS.70,group00505
AAA044D11.genome.CDS.2012,group01209
AAA044D11.genome.CDS.1809,group00833
AAA044D11.genome.CDS.1718,group00022
AAA044D11.genome.CDS.1492,group00189
AAA044D11.genome.CDS.1490,group00456
AAA044D11.genome.CDS.1497,group05948
AAA044D11.genome.CDS.1496,group00064
AAA044D11.genome.CDS.1495,group00837
AAA044D11.genome.CDS.1494,group00068
AAA044D11.genome.CDS.1710,group00822
AAA044D11.genome.CDS.1711,group00779
AAA044D11.genome.CDS.1712,group05901
AAA044D11.genome.CDS.1713,group00597
AAA044D11.genome.CDS.1714,group00464
AAA044D11.genome.CDS.2296,group00698
AAA044D11.genome.CDS.1716,group00033
AAA044D11.genome.CDS.1717,group00546
AAA044D11.genome.CDS.2297,group00722
AAA044D11.genome.CDS.741,group02082
AAA044D11.genome.CDS.2290,group00541
AAA044D11.genome.CDS.629,group02743
AAA044D11.genome.CDS.2291,group00540
AAA044D11.genome.CDS.828,group00230
AAA044D11.genome.CDS.1789,group05906
AAA044D11.genome.CDS.1470,group00335
AAA044D11.genome.CDS.1182,group01017
AAA044D11.genome.CDS.827,group01275
AAA044D11.genome.CDS.1351,group00348
AAA044D11.genome.CDS.2313,group00439
AAA044D11.genome.CDS.1651,group00015
AAA044D11.genome.CDS.1650,group00193
AAA044D11.genome.CDS.1301,group00224
AAA044D11.genome.CDS.1300,group00984
AAA044D11.genome.CDS.1307,group00161
AAA044D11.genome.CDS.1306,group00562
AAA044D11.genome.CDS.1657,group00269
AAA044D11.genome.CDS.1656,group00780
AAA044D11.genome.CDS.1659,group00507
AAA044D11.genome.CDS.1658,group00506
AAA044D11.genome.CDS.1309,group00341
AAA044D11.genome.CDS.1308,group00561
AAA044D11.genome.CDS.2314,group00386
AAA044D11.genome.CDS.1783,group00321
AAA044D11.genome.CDS.2128,group04953
AAA044D11.genome.CDS.2299,group00352
AAA044D11.genome.CDS.1761,group00384
AAA044D11.genome.CDS.956,group05927
AAA044D11.genome.CDS.2129,group05924
AAA044D11.genome.CDS.592,group01589
AAA044D11.genome.CDS.2318,group00410
AAA044D11.genome.CDS.593,group00729
AAA044D11.genome.CDS.2312,group01010
AAA044D11.genome.CDS.1960,group00641
AAA044D11.genome.CDS.1398,group01340
AAA044D11.genome.CDS.1399,group00613
AAA044D11.genome.CDS.1394,group01868
AAA044D11.genome.CDS.1395,group01849
AAA044D11.genome.CDS.1396,group01405
AAA044D11.genome.CDS.1397,group00628
AAA044D11.genome.CDS.1390,group01666
AAA044D11.genome.CDS.1391,group01480
AAA044D11.genome.CDS.1392,group00716
AAA044D11.genome.CDS.1393,group02197
AAA044D11.genome.CDS.1481,group00295
AAA044D11.genome.CDS.1408,group00801
AAA044D11.genome.CDS.1409,group00666
AAA044D11.genome.CDS.1404,group00037
AAA044D11.genome.CDS.1405,group00793
AAA044D11.genome.CDS.1406,group00643
AAA044D11.genome.CDS.1407,group00669
AAA044D11.genome.CDS.1400,group01144
AAA044D11.genome.CDS.1401,group01088
AAA044D11.genome.CDS.1402,group01031
AAA044D11.genome.CDS.1403,group00337
AAA044D11.genome.CDS.2250,group01263
AAA044D11.genome.CDS.2251,group00167
AAA044D11.genome.CDS.2252,group05933
AAA044D11.genome.CDS.2253,group00492
AAA044D11.genome.CDS.2254,group00404
AAA044D11.genome.CDS.2255,group00326
AAA044D11.genome.CDS.2256,group00445
AAA044D11.genome.CDS.2257,group00268
AAA044D11.genome.CDS.2258,group00564
AAA044D11.genome.CDS.2126,group05926
AAA044D11.genome.CDS.2127,group05925
AAA044D11.genome.CDS.2092,group01077
AAA044D11.genome.CDS.2093,group01014
AAA044D11.genome.CDS.2090,group00633
AAA044D11.genome.CDS.2158,group02337
AAA044D11.genome.CDS.2096,group00954
AAA044D11.genome.CDS.2097,group00256
AAA044D11.genome.CDS.2094,group00472
AAA044D11.genome.CDS.2095,group00950
AAA044D11.genome.CDS.2153,group01233
AAA044D11.genome.CDS.2152,group01116
AAA044D11.genome.CDS.2151,group01658
AAA044D11.genome.CDS.2150,group03021
AAA044D11.genome.CDS.2157,group02619
AAA044D11.genome.CDS.2156,group01228
AAA044D11.genome.CDS.2155,group03319
AAA044D11.genome.CDS.2154,group01854
AAA044D11.genome.CDS.1570,group00168
AAA044D11.genome.CDS.1478,group01065
AAA044D11.genome.CDS.1572,group03331
AAA044D11.genome.CDS.1573,group03586
AAA044D11.genome.CDS.1574,group05535
AAA044D11.genome.CDS.1575,group00608
AAA044D11.genome.CDS.1576,group03882
AAA044D11.genome.CDS.1577,group01099
AAA044D11.genome.CDS.1471,group00125
AAA044D11.genome.CDS.1579,group00064
AAA044D11.genome.CDS.1473,group00294
AAA044D11.genome.CDS.1472,group00166
AAA044D11.genome.CDS.1475,group00085
AAA044D11.genome.CDS.1474,group00041
AAA044D11.genome.CDS.1477,group00077
AAA044D11.genome.CDS.1476,group00019
AAA044D11.genome.CDS.1279,group00304
AAA044D11.genome.CDS.1858,group00517
AAA044D11.genome.CDS.1273,group00447
AAA044D11.genome.CDS.1272,group00466
AAA044D11.genome.CDS.1271,group00741
AAA044D11.genome.CDS.1270,group00588
AAA044D11.genome.CDS.1277,group00446
AAA044D11.genome.CDS.1276,group01179
AAA044D11.genome.CDS.1275,group00008
AAA044D11.genome.CDS.1274,group00465
AAA044D11.genome.CDS.1875,group00894
AAA044D11.genome.CDS.1493,group00047
AAA044D11.genome.CDS.1877,group00174
AAA044D11.genome.CDS.1876,group00285
AAA044D11.genome.CDS.1871,group00039
AAA044D11.genome.CDS.1870,group00087
AAA044D11.genome.CDS.1873,group00802
AAA044D11.genome.CDS.1719,group00828
AAA044D11.genome.CDS.2027,group01910
AAA044D11.genome.CDS.2026,group03570
AAA044D11.genome.CDS.2025,group00107
AAA044D11.genome.CDS.2024,group03169
AAA044D11.genome.CDS.2023,group03168
AAA044D11.genome.CDS.2022,group00919
AAA044D11.genome.CDS.2021,group00898
AAA044D11.genome.CDS.2020,group04730
AAA044D11.genome.CDS.2137,group05920
AAA044D11.genome.CDS.1978,group00548
AAA044D11.genome.CDS.1979,group00186
AAA044D11.genome.CDS.1974,group00765
AAA044D11.genome.CDS.1975,group00090
AAA044D11.genome.CDS.1976,group00246
AAA044D11.genome.CDS.1977,group00192
AAA044D11.genome.CDS.1970,group00601
AAA044D11.genome.CDS.1998,group00645
AAA044D11.genome.CDS.1972,group00109
AAA044D11.genome.CDS.1973,group00317
AAA044D11.genome.CDS.1888,group00529
AAA044D11.genome.CDS.1889,group00038
AAA044D11.genome.CDS.1999,group00401
AAA044D11.genome.CDS.1278,group00344
AAA044D11.genome.CDS.1880,group00214
AAA044D11.genome.CDS.1881,group00280
AAA044D11.genome.CDS.1882,group00409
AAA044D11.genome.CDS.1883,group00216
AAA044D11.genome.CDS.1884,group00438
AAA044D11.genome.CDS.1885,group00864
AAA044D11.genome.CDS.1886,group01007
AAA044D11.genome.CDS.1887,group00573
AAA044D11.genome.CDS.2272,group00835
AAA044D11.genome.CDS.2000,group00368
AAA044D11.genome.CDS.1990,group00111
AAA044D11.genome.CDS.1499,group00963
AAA044D11.genome.CDS.2183,group00091
AAA044D11.genome.CDS.1754,group00847
AAA044D11.genome.CDS.1755,group00538
AAA044D11.genome.CDS.1498,group01931
AAA044D11.genome.CDS.1619,group01956
AAA044D11.genome.CDS.1751,group00768
AAA044D11.genome.CDS.1752,group00962
AAA044D11.genome.CDS.1753,group00932
AAA044D11.genome.CDS.1615,group00079
AAA044D11.genome.CDS.1900,group00440
AAA044D11.genome.CDS.1617,group02012
AAA044D11.genome.CDS.1616,group00027
AAA044D11.genome.CDS.1611,group00441
AAA044D11.genome.CDS.1610,group00881
AAA044D11.genome.CDS.1613,group00332
AAA044D11.genome.CDS.1906,group00846
AAA044D11.genome.CDS.1234,group00943
AAA044D11.genome.CDS.2184,group00175
AAA044D11.genome.CDS.1762,group00454
AAA044D11.genome.CDS.1681,group01894
AAA044D11.genome.CDS.1240,group01103
AAA044D11.genome.CDS.1792,group00942
AAA044D11.genome.CDS.1669,group00604
AAA044D11.genome.CDS.1207,group01557
AAA044D11.genome.CDS.1204,group00152
AAA044D11.genome.CDS.1353,group00058
AAA044D11.genome.CDS.1468,group00110
AAA044D11.genome.CDS.1746,group00701
AAA044D11.genome.CDS.1686,group00395
AAA044D11.genome.CDS.1687,group00020
AAA044D11.genome.CDS.1684,group00021
AAA044D11.genome.CDS.1685,group01256
AAA044D11.genome.CDS.1682,group00707
AAA044D11.genome.CDS.1683,group00961
AAA044D11.genome.CDS.1359,group00083
AAA044D11.genome.CDS.1744,group00851
AAA044D11.genome.CDS.1688,group00508
AAA044D11.genome.CDS.1689,group00261
AAA044D11.genome.CDS.1721,group00936
AAA044D11.genome.CDS.1720,group00003
AAA044D11.genome.CDS.1723,group00496
AAA044D11.genome.CDS.1722,group00001
AAA044D11.genome.CDS.1725,group00247
AAA044D11.genome.CDS.1724,group00794
AAA044D11.genome.CDS.1727,group00213
AAA044D11.genome.CDS.1726,group00371
AAA044D11.genome.CDS.1729,group01068
AAA044D11.genome.CDS.1728,group00330
AAA044D11.genome.CDS.1352,group00137
AAA044D11.genome.CDS.1058,group00027
AAA044D11.genome.CDS.1354,group00194
AAA044D11.genome.CDS.1662,group00380
AAA044D11.genome.CDS.1356,group00378
AAA044D11.genome.CDS.1357,group00349
AAA044D11.genome.CDS.1255,group00293
AAA044D11.genome.CDS.1663,group00272
AAA044D11.genome.CDS.1314,group00570
AAA044D11.genome.CDS.1558,group00599
AAA044D11.genome.CDS.2197,group00689
AAA044D11.genome.CDS.1350,group00387
AAA044D11.genome.CDS.2195,group01042
AAA044D11.genome.CDS.2194,group00432
AAA044D11.genome.CDS.2218,group01043
AAA044D11.genome.CDS.2192,group00596
AAA044D11.genome.CDS.2191,group00579
AAA044D11.genome.CDS.2190,group01234
AAA044D11.genome.CDS.2214,group00201
AAA044D11.genome.CDS.2215,group00572
AAA044D11.genome.CDS.2216,group00478
AAA044D11.genome.CDS.2217,group01157
AAA044D11.genome.CDS.2210,group01291
AAA044D11.genome.CDS.2211,group00974
AAA044D11.genome.CDS.2212,group01376
AAA044D11.genome.CDS.2213,group00096
AAA044D11.genome.CDS.2328,group00468
AAA044D11.genome.CDS.2282,group00721
AAA044D11.genome.CDS.1437,group00821
AAA044D11.genome.CDS.2280,group00887
AAA044D11.genome.CDS.1431,group00820
AAA044D11.genome.CDS.2286,group00805
AAA044D11.genome.CDS.2285,group01119
AAA044D11.genome.CDS.1432,group00896
AAA044D11.genome.CDS.2320,group01015
AAA044D11.genome.CDS.2321,group01464
AAA044D11.genome.CDS.2322,group00535
AAA044D11.genome.CDS.2288,group00049
AAA044D11.genome.CDS.1439,group00764
AAA044D11.genome.CDS.1438,group00825
AAA044D11.genome.CDS.2326,group00532
AAA044D11.genome.CDS.2327,group00470
AAA044D11.genome.CDS.1225,group00301
AAA044D11.genome.CDS.2180,group00148
AAA044D11.genome.CDS.1538,group00634
AAA044D11.genome.CDS.1539,group00516
AAA044D11.genome.CDS.1553,group00413
AAA044D11.genome.CDS.1534,group00749
AAA044D11.genome.CDS.1535,group00185
AAA044D11.genome.CDS.1536,group00076
AAA044D11.genome.CDS.1537,group00483
AAA044D11.genome.CDS.1530,group00912
AAA044D11.genome.CDS.1531,group00270
AAA044D11.genome.CDS.1532,group00726
AAA044D11.genome.CDS.1533,group00650
AAA044D11.genome.CDS.2269,group05934
AAA044D11.genome.CDS.2268,group01064
AAA044D11.genome.CDS.2102,group00923
AAA044D11.genome.CDS.2103,group01259
AAA044D11.genome.CDS.2104,group05929
AAA044D11.genome.CDS.2105,group02254
AAA044D11.genome.CDS.2106,group02031
AAA044D11.genome.CDS.2107,group00907
AAA044D11.genome.CDS.2108,group01164
AAA044D11.genome.CDS.1556,group00200
AAA044D11.genome.CDS.2263,group00584
AAA044D11.genome.CDS.2262,group00519
AAA044D11.genome.CDS.2265,group00555
AAA044D11.genome.CDS.2264,group00018
AAA044D11.genome.CDS.2267,group01054
AAA044D11.genome.CDS.1258,group00313
AAA044D11.genome.CDS.1184,group00581
AAA044D11.genome.CDS.2069,group01532
AAA044D11.genome.CDS.2068,group04028
AAA044D11.genome.CDS.2186,group04911
AAA044D11.genome.CDS.2219,group00949
AAA044D11.genome.CDS.2145,group01387
AAA044D11.genome.CDS.2063,group01397
AAA044D11.genome.CDS.2062,group01116
AAA044D11.genome.CDS.2061,group01221
AAA044D11.genome.CDS.2187,group00786
AAA044D11.genome.CDS.2067,group03228
AAA044D11.genome.CDS.2146,group00036
AAA044D11.genome.CDS.2065,group04583
AAA044D11.genome.CDS.2064,group01958
AAA044D11.genome.CDS.1220,group00582
AAA044D11.genome.CDS.1548,group00080
AAA044D11.genome.CDS.1222,group00552
AAA044D11.genome.CDS.1223,group01172
AAA044D11.genome.CDS.1224,group00051
AAA044D11.genome.CDS.1635,group00099
AAA044D11.genome.CDS.1226,group00177
AAA044D11.genome.CDS.1227,group01460
AAA044D11.genome.CDS.1228,group01402
AAA044D11.genome.CDS.1229,group01152
AAA044D11.genome.CDS.1543,group00141
AAA044D11.genome.CDS.1928,group04868
AAA044D11.genome.CDS.1545,group00379
AAA044D11.genome.CDS.1544,group01175
AAA044D11.genome.CDS.1547,group00291
AAA044D11.genome.CDS.1546,group00491
AAA044D11.genome.CDS.1652,group00118
AAA044D11.genome.CDS.1655,group00996
AAA044D11.genome.CDS.1186,group00032
AAA044D11.genome.CDS.1639,group00567
AAA044D11.genome.CDS.1945,group01523
AAA044D11.genome.CDS.1944,group01057
AAA044D11.genome.CDS.1947,group01438
AAA044D11.genome.CDS.1829,group00915
AAA044D11.genome.CDS.1941,group01388
AAA044D11.genome.CDS.1305,group00232
AAA044D11.genome.CDS.1622,group01141
AAA044D11.genome.CDS.1942,group05908
AAA044D11.genome.CDS.1822,group02839
AAA044D11.genome.CDS.1823,group05534
AAA044D11.genome.CDS.1820,group00043
AAA044D11.genome.CDS.1304,group00815
AAA044D11.genome.CDS.1826,group05529
AAA044D11.genome.CDS.1827,group05530
AAA044D11.genome.CDS.1824,group00827
AAA044D11.genome.CDS.1825,group02740
AAA044D11.genome.CDS.1506,group00277
AAA044D11.genome.CDS.1557,group00719
AAA044D11.genome.CDS.1920,group00969
AAA044D11.genome.CDS.2266,group01003
AAA044D11.genome.CDS.2259,group00565
AAA044D11.genome.CDS.2196,group01283
AAA044D11.genome.CDS.490,group00780
AAA044D11.genome.CDS.2193,group00734
AAA044D11.genome.CDS.49,group00178
AAA044D11.genome.CDS.2329,group00030
AAA044D11.genome.CDS.1484,group00964
AAA044D11.genome.CDS.2009,group00424
AAA044D11.genome.CDS.1487,group00485
AAA044D11.genome.CDS.1480,group00196
AAA044D11.genome.CDS.1768,group00062
AAA044D11.genome.CDS.1482,group00334
AAA044D11.genome.CDS.1957,group00183
AAA044D11.genome.CDS.1765,group00248
AAA044D11.genome.CDS.1764,group00398
AAA044D11.genome.CDS.1767,group00072
AAA044D11.genome.CDS.1766,group00986
AAA044D11.genome.CDS.1488,group00143
AAA044D11.genome.CDS.1489,group00571
AAA044D11.genome.CDS.1763,group00841
AAA044D11.genome.CDS.1467,group00040
AAA044D11.genome.CDS.1464,group00289
AAA044D11.genome.CDS.1313,group00509
AAA044D11.genome.CDS.1953,group00831
AAA044D11.genome.CDS.2199,group01028
AAA044D11.genome.CDS.1950,group00323
AAA044D11.genome.CDS.839,group05538
AAA044D11.genome.CDS.1818,group04955
AAA044D11.genome.CDS.1866,group00171
AAA044D11.genome.CDS.1642,group00127
AAA044D11.genome.CDS.1643,group00879
AAA044D11.genome.CDS.1640,group00155
AAA044D11.genome.CDS.1317,group00636
AAA044D11.genome.CDS.1310,group00625
AAA044D11.genome.CDS.1647,group00084
AAA044D11.genome.CDS.1312,group00231
AAA044D11.genome.CDS.1645,group00205
AAA044D11.genome.CDS.1648,group00086
AAA044D11.genome.CDS.1649,group00188
AAA044D11.genome.CDS.1318,group00011
AAA044D11.genome.CDS.1319,group00340
AAA044D11.genome.CDS.2283,group00695
AAA044D11.genome.CDS.2198,group00521
AAA044D11.genome.CDS.1355,group00300
AAA044D11.genome.CDS.1434,group00895
AAA044D11.genome.CDS.2005,group00682
AAA044D11.genome.CDS.1867,group00511
AAA044D11.genome.CDS.2060,group02823
AAA044D11.genome.CDS.2281,group00416
AAA044D11.genome.CDS.1812,group05903
AAA044D11.genome.CDS.2311,group05935
AAA044D11.genome.CDS.2310,group00357
AAA044D11.genome.CDS.945,group01407
AAA044D11.genome.CDS.1436,group00845
AAA044D11.genome.CDS.2315,group00139
AAA044D11.genome.CDS.1958,group00606
AAA044D11.genome.CDS.2317,group00333
AAA044D11.genome.CDS.2316,group00050
AAA044D11.genome.CDS.2319,group00718
AAA044D11.genome.CDS.2287,group01466
AAA044D11.genome.CDS.1810,group00149
AAA044D11.genome.CDS.948,group02763
AAA044D11.genome.CDS.1361,group00061
AAA044D11.genome.CDS.1360,group00265
AAA044D11.genome.CDS.1363,group00656
AAA044D11.genome.CDS.1362,group00187
AAA044D11.genome.CDS.1365,group00356
