TBepi4208.genome.CDS.926,group00313
TBepi4208.genome.CDS.1327,group00485
TBepi4208.genome.CDS.1863,group00292
TBepi4208.genome.CDS.1862,group00512
TBepi4208.genome.CDS.1861,group00902
TBepi4208.genome.CDS.1860,group00168
TBepi4208.genome.CDS.1867,group08676
TBepi4208.genome.CDS.1866,group00373
TBepi4208.genome.CDS.1865,group01121
TBepi4208.genome.CDS.1864,group00124
TBepi4208.genome.CDS.1900,group00855
TBepi4208.genome.CDS.1901,group03395
TBepi4208.genome.CDS.1869,group02671
TBepi4208.genome.CDS.1868,group00451
TBepi4208.genome.CDS.1904,group11574
TBepi4208.genome.CDS.1905,group00113
TBepi4208.genome.CDS.1907,group01036
TBepi4208.genome.CDS.1244,group00096
TBepi4208.genome.CDS.1748,group04873
TBepi4208.genome.CDS.1760,group00014
TBepi4208.genome.CDS.1761,group00613
TBepi4208.genome.CDS.1762,group00361
TBepi4208.genome.CDS.1763,group00002
TBepi4208.genome.CDS.1764,group00215
TBepi4208.genome.CDS.1168,group00601
TBepi4208.genome.CDS.1766,group02785
TBepi4208.genome.CDS.1767,group12319
TBepi4208.genome.CDS.1768,group01237
TBepi4208.genome.CDS.1880,group01020
TBepi4208.genome.CDS.1883,group00469
TBepi4208.genome.CDS.1882,group00339
TBepi4208.genome.CDS.1885,group01053
TBepi4208.genome.CDS.1884,group00858
TBepi4208.genome.CDS.1887,group01080
TBepi4208.genome.CDS.1886,group12009
TBepi4208.genome.CDS.2022,group00530
TBepi4208.genome.CDS.2023,group04914
TBepi4208.genome.CDS.2020,group08976
TBepi4208.genome.CDS.2021,group07127
TBepi4208.genome.CDS.2026,group04408
TBepi4208.genome.CDS.2027,group00434
TBepi4208.genome.CDS.1348,group03988
TBepi4208.genome.CDS.1349,group00693
TBepi4208.genome.CDS.1346,group00353
TBepi4208.genome.CDS.1347,group00574
TBepi4208.genome.CDS.1344,group00889
TBepi4208.genome.CDS.2029,group00089
TBepi4208.genome.CDS.1342,group00027
TBepi4208.genome.CDS.1343,group12709
TBepi4208.genome.CDS.1340,group04422
TBepi4208.genome.CDS.1341,group07518
TBepi4208.genome.CDS.1800,group08208
TBepi4208.genome.CDS.1634,group01628
TBepi4208.genome.CDS.1177,group06819
TBepi4208.genome.CDS.1166,group00336
TBepi4208.genome.CDS.1167,group00813
TBepi4208.genome.CDS.1164,group01303
TBepi4208.genome.CDS.1165,group00043
TBepi4208.genome.CDS.1162,group00335
TBepi4208.genome.CDS.1163,group00120
TBepi4208.genome.CDS.1160,group00166
TBepi4208.genome.CDS.1161,group00125
TBepi4208.genome.CDS.1247,group07350
TBepi4208.genome.CDS.1246,group00201
TBepi4208.genome.CDS.983,group00064
TBepi4208.genome.CDS.1243,group00950
TBepi4208.genome.CDS.1242,group00643
TBepi4208.genome.CDS.1241,group00007
TBepi4208.genome.CDS.1240,group00495
TBepi4208.genome.CDS.1081,group01897
TBepi4208.genome.CDS.1080,group02334
TBepi4208.genome.CDS.1083,group01059
TBepi4208.genome.CDS.1082,group12900
TBepi4208.genome.CDS.1085,group07826
TBepi4208.genome.CDS.1084,group07147
TBepi4208.genome.CDS.1087,group03177
TBepi4208.genome.CDS.1086,group03384
TBepi4208.genome.CDS.1089,group03879
TBepi4208.genome.CDS.1088,group00181
TBepi4208.genome.CDS.1176,group00548
TBepi4208.genome.CDS.1918,group08763
TBepi4208.genome.CDS.2044,group00540
TBepi4208.genome.CDS.1649,group00890
TBepi4208.genome.CDS.1648,group00736
TBepi4208.genome.CDS.1643,group00475
TBepi4208.genome.CDS.1642,group00704
TBepi4208.genome.CDS.1641,group00811
TBepi4208.genome.CDS.1640,group00705
TBepi4208.genome.CDS.1647,group00799
TBepi4208.genome.CDS.1646,group00623
TBepi4208.genome.CDS.1645,group00343
TBepi4208.genome.CDS.1644,group00735
TBepi4208.genome.CDS.1470,group02541
TBepi4208.genome.CDS.1018,group13619
TBepi4208.genome.CDS.1019,group00829
TBepi4208.genome.CDS.1858,group00195
TBepi4208.genome.CDS.1012,group00952
TBepi4208.genome.CDS.1013,group00577
TBepi4208.genome.CDS.1010,group00746
TBepi4208.genome.CDS.1011,group08480
TBepi4208.genome.CDS.1016,group00023
TBepi4208.genome.CDS.1017,group01021
TBepi4208.genome.CDS.1014,group00199
TBepi4208.genome.CDS.1015,group00707
TBepi4208.genome.CDS.1759,group00319
TBepi4208.genome.CDS.1662,group02618
TBepi4208.genome.CDS.1239,group00325
TBepi4208.genome.CDS.1429,group00967
TBepi4208.genome.CDS.1092,group00508
TBepi4208.genome.CDS.1926,group12705
TBepi4208.genome.CDS.2048,group00275
TBepi4208.genome.CDS.2049,group00216
TBepi4208.genome.CDS.1669,group12041
TBepi4208.genome.CDS.1248,group08400
TBepi4208.genome.CDS.1668,group00503
TBepi4208.genome.CDS.1996,group00287
TBepi4208.genome.CDS.1277,group00035
TBepi4208.genome.CDS.1099,group05283
TBepi4208.genome.CDS.1925,group00326
TBepi4208.genome.CDS.1944,group00449
TBepi4208.genome.CDS.1945,group00387
TBepi4208.genome.CDS.1946,group00348
TBepi4208.genome.CDS.1947,group00137
TBepi4208.genome.CDS.1940,group00315
TBepi4208.genome.CDS.1941,group00754
TBepi4208.genome.CDS.1942,group00355
TBepi4208.genome.CDS.830,group00956
TBepi4208.genome.CDS.1948,group00058
TBepi4208.genome.CDS.1949,group00194
TBepi4208.genome.CDS.1969,group00286
TBepi4208.genome.CDS.1337,group05294
TBepi4208.genome.CDS.1336,group03685
TBepi4208.genome.CDS.1335,group00852
TBepi4208.genome.CDS.1334,group00071
TBepi4208.genome.CDS.1333,group00054
TBepi4208.genome.CDS.1332,group00165
TBepi4208.genome.CDS.1331,group00476
TBepi4208.genome.CDS.1330,group00457
TBepi4208.genome.CDS.2018,group07235
TBepi4208.genome.CDS.1345,group02651
TBepi4208.genome.CDS.1338,group08977
TBepi4208.genome.CDS.1423,group00029
TBepi4208.genome.CDS.1930,group00183
TBepi4208.genome.CDS.1421,group01002
TBepi4208.genome.CDS.1420,group00590
TBepi4208.genome.CDS.1427,group00536
TBepi4208.genome.CDS.1426,group00351
TBepi4208.genome.CDS.1425,group00303
TBepi4208.genome.CDS.1424,group02881
TBepi4208.genome.CDS.1540,group00532
TBepi4208.genome.CDS.1541,group00533
TBepi4208.genome.CDS.1542,group00876
TBepi4208.genome.CDS.1543,group00537
TBepi4208.genome.CDS.1544,group00535
TBepi4208.genome.CDS.1545,group00184
TBepi4208.genome.CDS.1546,group01464
TBepi4208.genome.CDS.1547,group00320
TBepi4208.genome.CDS.1838,group00877
TBepi4208.genome.CDS.1839,group01794
TBepi4208.genome.CDS.1960,group00588
TBepi4208.genome.CDS.1830,group00854
TBepi4208.genome.CDS.1831,group00738
TBepi4208.genome.CDS.1832,group00364
TBepi4208.genome.CDS.1833,group00080
TBepi4208.genome.CDS.1834,group00801
TBepi4208.genome.CDS.1835,group13816
TBepi4208.genome.CDS.1836,group01375
TBepi4208.genome.CDS.1837,group03160
TBepi4208.genome.CDS.1146,group00737
TBepi4208.genome.CDS.1795,group00255
TBepi4208.genome.CDS.1497,group00714
TBepi4208.genome.CDS.1407,group00521
TBepi4208.genome.CDS.1778,group07129
TBepi4208.genome.CDS.238,group01004
TBepi4208.genome.CDS.1610,group00122
TBepi4208.genome.CDS.1758,group00939
TBepi4208.genome.CDS.1209,group00037
TBepi4208.genome.CDS.1613,group00062
TBepi4208.genome.CDS.1614,group00072
TBepi4208.genome.CDS.1615,group00987
TBepi4208.genome.CDS.1616,group04438
TBepi4208.genome.CDS.1617,group06006
TBepi4208.genome.CDS.1203,group11291
TBepi4208.genome.CDS.1619,group00454
TBepi4208.genome.CDS.1753,group02323
TBepi4208.genome.CDS.1200,group00047
TBepi4208.genome.CDS.1755,group08240
TBepi4208.genome.CDS.1754,group01008
TBepi4208.genome.CDS.1757,group13810
TBepi4208.genome.CDS.1204,group08416
TBepi4208.genome.CDS.1687,group03404
TBepi4208.genome.CDS.1685,group13807
TBepi4208.genome.CDS.1728,group08158
TBepi4208.genome.CDS.1729,group01796
TBepi4208.genome.CDS.1681,group00611
TBepi4208.genome.CDS.1724,group04582
TBepi4208.genome.CDS.1725,group01212
TBepi4208.genome.CDS.1726,group00930
TBepi4208.genome.CDS.1727,group01394
TBepi4208.genome.CDS.1720,group01299
TBepi4208.genome.CDS.1721,group01272
TBepi4208.genome.CDS.1722,group02243
TBepi4208.genome.CDS.1688,group03603
TBepi4208.genome.CDS.1227,group00282
TBepi4208.genome.CDS.1771,group00787
TBepi4208.genome.CDS.1679,group00322
TBepi4208.genome.CDS.1056,group00366
TBepi4208.genome.CDS.1797,group03914
TBepi4208.genome.CDS.1054,group00412
TBepi4208.genome.CDS.1055,group00296
TBepi4208.genome.CDS.1052,group00227
TBepi4208.genome.CDS.1053,group00290
TBepi4208.genome.CDS.1050,group00444
TBepi4208.genome.CDS.1118,group13756
TBepi4208.genome.CDS.1117,group00670
TBepi4208.genome.CDS.1116,group00664
TBepi4208.genome.CDS.1115,group00197
TBepi4208.genome.CDS.1114,group02858
TBepi4208.genome.CDS.1113,group03037
TBepi4208.genome.CDS.1112,group00919
TBepi4208.genome.CDS.1111,group00337
TBepi4208.genome.CDS.1059,group00800
TBepi4208.genome.CDS.2032,group06819
TBepi4208.genome.CDS.1450,group00177
TBepi4208.genome.CDS.1290,group00602
TBepi4208.genome.CDS.2034,group00013
TBepi4208.genome.CDS.1689,group00489
TBepi4208.genome.CDS.1311,group00419
TBepi4208.genome.CDS.398,group01284
TBepi4208.genome.CDS.1707,group00356
TBepi4208.genome.CDS.426,group01099
TBepi4208.genome.CDS.1293,group00212
TBepi4208.genome.CDS.1313,group00091
TBepi4208.genome.CDS.1355,group10778
TBepi4208.genome.CDS.1312,group00198
TBepi4208.genome.CDS.1451,group00285
TBepi4208.genome.CDS.1354,group00155
TBepi4208.genome.CDS.1702,group12328
TBepi4208.genome.CDS.1314,group08680
TBepi4208.genome.CDS.1700,group10353
TBepi4208.genome.CDS.1102,group01019
TBepi4208.genome.CDS.1298,group00357
TBepi4208.genome.CDS.1701,group00254
TBepi4208.genome.CDS.1128,group00642
TBepi4208.genome.CDS.1988,group12056
TBepi4208.genome.CDS.1299,group00134
TBepi4208.genome.CDS.1129,group01638
TBepi4208.genome.CDS.1138,group00139
TBepi4208.genome.CDS.1805,group00768
TBepi4208.genome.CDS.2005,group00306
TBepi4208.genome.CDS.1406,group02017
TBepi4208.genome.CDS.1558,group00567
TBepi4208.genome.CDS.1276,group00803
TBepi4208.genome.CDS.1042,group12865
TBepi4208.genome.CDS.1122,group00784
TBepi4208.genome.CDS.1621,group13628
TBepi4208.genome.CDS.1529,group00641
TBepi4208.genome.CDS.1612,group00097
TBepi4208.genome.CDS.1804,group07304
TBepi4208.genome.CDS.1474,group01030
TBepi4208.genome.CDS.2031,group07495
TBepi4208.genome.CDS.1360,group13790
TBepi4208.genome.CDS.1491,group00171
TBepi4208.genome.CDS.1126,group00127
TBepi4208.genome.CDS.1366,group13830
TBepi4208.genome.CDS.1127,group00879
TBepi4208.genome.CDS.1571,group07583
TBepi4208.genome.CDS.1570,group04475
TBepi4208.genome.CDS.1620,group00384
TBepi4208.genome.CDS.1572,group00580
TBepi4208.genome.CDS.1575,group13803
TBepi4208.genome.CDS.1574,group00972
TBepi4208.genome.CDS.1577,group01057
TBepi4208.genome.CDS.1576,group01064
TBepi4208.genome.CDS.1579,group00554
TBepi4208.genome.CDS.1578,group01003
TBepi4208.genome.CDS.409,group01023
TBepi4208.genome.CDS.2030,group00716
TBepi4208.genome.CDS.1361,group02469
TBepi4208.genome.CDS.1504,group00001
TBepi4208.genome.CDS.1505,group00001
TBepi4208.genome.CDS.1506,group07324
TBepi4208.genome.CDS.1507,group02881
TBepi4208.genome.CDS.1500,group00463
TBepi4208.genome.CDS.1501,group00520
TBepi4208.genome.CDS.1502,group09440
TBepi4208.genome.CDS.1503,group00003
TBepi4208.genome.CDS.1363,group00834
TBepi4208.genome.CDS.1508,group00905
TBepi4208.genome.CDS.1509,group01304
TBepi4208.genome.CDS.1874,group00135
TBepi4208.genome.CDS.1875,group00579
TBepi4208.genome.CDS.1876,group00979
TBepi4208.genome.CDS.1877,group00818
TBepi4208.genome.CDS.1870,group00027
TBepi4208.genome.CDS.1871,group00240
TBepi4208.genome.CDS.1872,group00224
TBepi4208.genome.CDS.1873,group00646
TBepi4208.genome.CDS.1975,group00314
TBepi4208.genome.CDS.1974,group00659
TBepi4208.genome.CDS.1977,group00144
TBepi4208.genome.CDS.1976,group01527
TBepi4208.genome.CDS.1971,group00162
TBepi4208.genome.CDS.1970,group02641
TBepi4208.genome.CDS.1972,group00859
TBepi4208.genome.CDS.1485,group01485
TBepi4208.genome.CDS.1484,group02541
TBepi4208.genome.CDS.1487,group00087
TBepi4208.genome.CDS.1819,group02452
TBepi4208.genome.CDS.1481,group01673
TBepi4208.genome.CDS.1480,group01669
TBepi4208.genome.CDS.1483,group01659
TBepi4208.genome.CDS.1482,group01895
TBepi4208.genome.CDS.1401,group04872
TBepi4208.genome.CDS.532,group13313
TBepi4208.genome.CDS.1489,group00208
TBepi4208.genome.CDS.1488,group00103
TBepi4208.genome.CDS.1622,group00943
TBepi4208.genome.CDS.1400,group04869
TBepi4208.genome.CDS.1715,group01483
TBepi4208.genome.CDS.1714,group06565
TBepi4208.genome.CDS.1898,group00234
TBepi4208.genome.CDS.1716,group00991
TBepi4208.genome.CDS.1711,group03913
TBepi4208.genome.CDS.1710,group05119
TBepi4208.genome.CDS.1713,group00814
TBepi4208.genome.CDS.1712,group00957
TBepi4208.genome.CDS.1892,group02011
TBepi4208.genome.CDS.1893,group00658
TBepi4208.genome.CDS.1890,group00346
TBepi4208.genome.CDS.1891,group00347
TBepi4208.genome.CDS.1719,group13725
TBepi4208.genome.CDS.1897,group00646
TBepi4208.genome.CDS.1894,group08563
TBepi4208.genome.CDS.1895,group13817
TBepi4208.genome.CDS.1801,group11923
TBepi4208.genome.CDS.1479,group00009
TBepi4208.genome.CDS.1803,group02747
TBepi4208.genome.CDS.1802,group00637
TBepi4208.genome.CDS.971,group02407
TBepi4208.genome.CDS.1376,group00161
TBepi4208.genome.CDS.1807,group00850
TBepi4208.genome.CDS.972,group04116
TBepi4208.genome.CDS.1447,group00214
TBepi4208.genome.CDS.1808,group12411
TBepi4208.genome.CDS.2012,group11862
TBepi4208.genome.CDS.1378,group00232
TBepi4208.genome.CDS.979,group00186
TBepi4208.genome.CDS.1475,group00697
TBepi4208.genome.CDS.1476,group01257
TBepi4208.genome.CDS.1477,group08749
TBepi4208.genome.CDS.1799,group00502
TBepi4208.genome.CDS.1270,group00406
TBepi4208.genome.CDS.1250,group00557
TBepi4208.genome.CDS.615,group00269
TBepi4208.genome.CDS.1252,group00123
TBepi4208.genome.CDS.1253,group00806
TBepi4208.genome.CDS.1254,group00229
TBepi4208.genome.CDS.1255,group01208
TBepi4208.genome.CDS.1256,group01016
TBepi4208.genome.CDS.1257,group08226
TBepi4208.genome.CDS.1258,group12055
TBepi4208.genome.CDS.1390,group01861
TBepi4208.genome.CDS.1393,group07485
TBepi4208.genome.CDS.1392,group00654
TBepi4208.genome.CDS.997,group00825
TBepi4208.genome.CDS.1920,group01870
TBepi4208.genome.CDS.1397,group00977
TBepi4208.genome.CDS.1396,group01376
TBepi4208.genome.CDS.1629,group00340
TBepi4208.genome.CDS.1093,group00820
TBepi4208.genome.CDS.1090,group00395
TBepi4208.genome.CDS.1158,group00041
TBepi4208.genome.CDS.1096,group00594
TBepi4208.genome.CDS.1097,group12069
TBepi4208.genome.CDS.1094,group10214
TBepi4208.genome.CDS.2001,group13626
TBepi4208.genome.CDS.1153,group13814
TBepi4208.genome.CDS.1152,group00080
TBepi4208.genome.CDS.1151,group00291
TBepi4208.genome.CDS.1150,group00498
TBepi4208.genome.CDS.1157,group00085
TBepi4208.genome.CDS.1624,group00573
TBepi4208.genome.CDS.1627,group00636
TBepi4208.genome.CDS.1927,group00492
TBepi4208.genome.CDS.1796,group07755
TBepi4208.genome.CDS.1658,group08483
TBepi4208.genome.CDS.1659,group01378
TBepi4208.genome.CDS.1654,group02776
TBepi4208.genome.CDS.1655,group00678
TBepi4208.genome.CDS.1656,group09564
TBepi4208.genome.CDS.1657,group00843
TBepi4208.genome.CDS.1650,group01833
TBepi4208.genome.CDS.1651,group00233
TBepi4208.genome.CDS.1652,group13805
TBepi4208.genome.CDS.1653,group00991
TBepi4208.genome.CDS.1793,group00723
TBepi4208.genome.CDS.1359,group03241
TBepi4208.genome.CDS.1792,group07309
TBepi4208.genome.CDS.1537,group03403
TBepi4208.genome.CDS.400,group01732
TBepi4208.genome.CDS.1536,group03946
TBepi4208.genome.CDS.1029,group00536
TBepi4208.genome.CDS.1028,group06998
TBepi4208.genome.CDS.1027,group01462
TBepi4208.genome.CDS.1438,group00061
TBepi4208.genome.CDS.1025,group00356
TBepi4208.genome.CDS.1024,group01733
TBepi4208.genome.CDS.1023,group03397
TBepi4208.genome.CDS.1022,group10414
TBepi4208.genome.CDS.1021,group11516
TBepi4208.genome.CDS.1020,group01402
TBepi4208.genome.CDS.1226,group02179
TBepi4208.genome.CDS.1933,group00832
TBepi4208.genome.CDS.1220,group08190
TBepi4208.genome.CDS.351,group00681
TBepi4208.genome.CDS.1528,group12706
TBepi4208.genome.CDS.1364,group04346
TBepi4208.genome.CDS.1806,group11743
TBepi4208.genome.CDS.2011,group04577
TBepi4208.genome.CDS.1229,group00725
TBepi4208.genome.CDS.1268,group00481
TBepi4208.genome.CDS.1387,group02086
TBepi4208.genome.CDS.1909,group00728
TBepi4208.genome.CDS.1291,group01106
TBepi4208.genome.CDS.1846,group02654
TBepi4208.genome.CDS.1751,group00531
TBepi4208.genome.CDS.1362,group00927
TBepi4208.genome.CDS.1934,group00480
TBepi4208.genome.CDS.1979,group08262
TBepi4208.genome.CDS.1842,group04738
TBepi4208.genome.CDS.1149,group00379
TBepi4208.genome.CDS.1377,group00563
TBepi4208.genome.CDS.1750,group04653
TBepi4208.genome.CDS.1100,group00546
TBepi4208.genome.CDS.1410,group13793
TBepi4208.genome.CDS.1367,group01344
TBepi4208.genome.CDS.1441,group00053
TBepi4208.genome.CDS.1440,group00083
TBepi4208.genome.CDS.1443,group11549
TBepi4208.genome.CDS.1442,group00349
TBepi4208.genome.CDS.1445,group00409
TBepi4208.genome.CDS.1444,group01731
TBepi4208.genome.CDS.1999,group00237
TBepi4208.genome.CDS.1998,group13051
TBepi4208.genome.CDS.1997,group00223
TBepi4208.genome.CDS.1448,group00281
TBepi4208.genome.CDS.1995,group00251
TBepi4208.genome.CDS.1994,group00372
TBepi4208.genome.CDS.1993,group00442
TBepi4208.genome.CDS.1992,group00753
TBepi4208.genome.CDS.1991,group00982
TBepi4208.genome.CDS.1990,group00176
TBepi4208.genome.CDS.1434,group00830
TBepi4208.genome.CDS.1923,group05403
TBepi4208.genome.CDS.1436,group00912
TBepi4208.genome.CDS.1437,group00238
TBepi4208.genome.CDS.1539,group00471
TBepi4208.genome.CDS.1538,group08653
TBepi4208.genome.CDS.1924,group00445
TBepi4208.genome.CDS.1433,group08765
TBepi4208.genome.CDS.1535,group01762
TBepi4208.genome.CDS.1534,group10212
TBepi4208.genome.CDS.1928,group00460
TBepi4208.genome.CDS.1929,group00606
TBepi4208.genome.CDS.1531,group00614
TBepi4208.genome.CDS.1439,group00265
TBepi4208.genome.CDS.1533,group10425
TBepi4208.genome.CDS.1532,group00948
TBepi4208.genome.CDS.2052,group01007
TBepi4208.genome.CDS.2051,group00864
TBepi4208.genome.CDS.2050,group00438
TBepi4208.genome.CDS.1849,group00399
TBepi4208.genome.CDS.1848,group13815
TBepi4208.genome.CDS.1845,group00014
TBepi4208.genome.CDS.1844,group01238
TBepi4208.genome.CDS.1847,group03886
TBepi4208.genome.CDS.1143,group00515
TBepi4208.genome.CDS.1841,group01345
TBepi4208.genome.CDS.1840,group00035
TBepi4208.genome.CDS.1843,group01862
TBepi4208.genome.CDS.1978,group00377
TBepi4208.genome.CDS.158,group11221
TBepi4208.genome.CDS.1765,group00057
TBepi4208.genome.CDS.896,group05439
TBepi4208.genome.CDS.1251,group00946
TBepi4208.genome.CDS.1197,group06192
TBepi4208.genome.CDS.1196,group00230
TBepi4208.genome.CDS.1667,group00095
TBepi4208.genome.CDS.1749,group00180
TBepi4208.genome.CDS.1193,group00682
TBepi4208.genome.CDS.1219,group06327
TBepi4208.genome.CDS.1663,group00625
TBepi4208.genome.CDS.1190,group00679
TBepi4208.genome.CDS.1742,group00185
TBepi4208.genome.CDS.1743,group00182
TBepi4208.genome.CDS.1740,group00650
TBepi4208.genome.CDS.1217,group11925
TBepi4208.genome.CDS.1210,group01949
TBepi4208.genome.CDS.1211,group02337
TBepi4208.genome.CDS.1744,group00211
TBepi4208.genome.CDS.1213,group00440
TBepi4208.genome.CDS.1328,group10155
TBepi4208.genome.CDS.1329,group00571
TBepi4208.genome.CDS.1281,group00163
TBepi4208.genome.CDS.1280,group00994
TBepi4208.genome.CDS.1287,group03657
TBepi4208.genome.CDS.1286,group00645
TBepi4208.genome.CDS.1285,group11479
TBepi4208.genome.CDS.1664,group00624
TBepi4208.genome.CDS.1320,group00196
TBepi4208.genome.CDS.1321,group00295
TBepi4208.genome.CDS.1322,group02669
TBepi4208.genome.CDS.1323,group00173
TBepi4208.genome.CDS.1324,group00964
TBepi4208.genome.CDS.1325,group00591
TBepi4208.genome.CDS.1326,group10917
TBepi4208.genome.CDS.1879,group01841
TBepi4208.genome.CDS.1698,group09638
TBepi4208.genome.CDS.1699,group02427
TBepi4208.genome.CDS.1194,group00105
TBepi4208.genome.CDS.1690,group01178
TBepi4208.genome.CDS.1691,group00621
TBepi4208.genome.CDS.1692,group00545
TBepi4208.genome.CDS.1693,group00363
TBepi4208.genome.CDS.1694,group01000
