AAA028E20.genome.CDS.1160,group00126
AAA028E20.genome.CDS.1716,group00041
AAA028E20.genome.CDS.1715,group00166
AAA028E20.genome.CDS.923,group02331
AAA028E20.genome.CDS.1713,group00985
AAA028E20.genome.CDS.1712,group00016
AAA028E20.genome.CDS.1711,group00004
AAA028E20.genome.CDS.1659,group00203
AAA028E20.genome.CDS.1304,group00329
AAA028E20.genome.CDS.1150,group00172
AAA028E20.genome.CDS.1306,group00240
AAA028E20.genome.CDS.1307,group00225
AAA028E20.genome.CDS.1300,group00705
AAA028E20.genome.CDS.1301,group00811
AAA028E20.genome.CDS.1302,group00704
AAA028E20.genome.CDS.1303,group00450
AAA028E20.genome.CDS.1308,group00437
AAA028E20.genome.CDS.1309,group00219
AAA028E20.genome.CDS.1065,group00521
AAA028E20.genome.CDS.764,group02059
AAA028E20.genome.CDS.782,group00822
AAA028E20.genome.CDS.1209,group00366
AAA028E20.genome.CDS.1561,group01347
AAA028E20.genome.CDS.1371,group00029
AAA028E20.genome.CDS.1373,group00619
AAA028E20.genome.CDS.1372,group00957
AAA028E20.genome.CDS.1375,group00610
AAA028E20.genome.CDS.1374,group00618
AAA028E20.genome.CDS.1377,group00594
AAA028E20.genome.CDS.1376,group00522
AAA028E20.genome.CDS.1379,group01095
AAA028E20.genome.CDS.1378,group00595
AAA028E20.genome.CDS.1278,group00021
AAA028E20.genome.CDS.1279,group00020
AAA028E20.genome.CDS.1571,group00646
AAA028E20.genome.CDS.1570,group00135
AAA028E20.genome.CDS.1577,group11698
AAA028E20.genome.CDS.1576,group05233
AAA028E20.genome.CDS.1575,group00587
AAA028E20.genome.CDS.1574,group00855
AAA028E20.genome.CDS.1270,group00803
AAA028E20.genome.CDS.1271,group00034
AAA028E20.genome.CDS.1579,group11696
AAA028E20.genome.CDS.1578,group11697
AAA028E20.genome.CDS.1274,group01001
AAA028E20.genome.CDS.1275,group04001
AAA028E20.genome.CDS.1276,group01046
AAA028E20.genome.CDS.1277,group00395
AAA028E20.genome.CDS.1201,group00665
AAA028E20.genome.CDS.1569,group01029
AAA028E20.genome.CDS.1407,group00922
AAA028E20.genome.CDS.1033,group00506
AAA028E20.genome.CDS.255,group01316
AAA028E20.genome.CDS.1115,group00632
AAA028E20.genome.CDS.1114,group01061
AAA028E20.genome.CDS.1117,group00210
AAA028E20.genome.CDS.1116,group00278
AAA028E20.genome.CDS.1111,group00664
AAA028E20.genome.CDS.1110,group00197
AAA028E20.genome.CDS.1113,group01515
AAA028E20.genome.CDS.1112,group01585
AAA028E20.genome.CDS.1718,group00019
AAA028E20.genome.CDS.1119,group00651
AAA028E20.genome.CDS.1118,group00784
AAA028E20.genome.CDS.1058,group01058
AAA028E20.genome.CDS.1059,group00259
AAA028E20.genome.CDS.1406,group00921
AAA028E20.genome.CDS.1054,group01127
AAA028E20.genome.CDS.1055,group00774
AAA028E20.genome.CDS.1056,group01130
AAA028E20.genome.CDS.1057,group00755
AAA028E20.genome.CDS.1050,group00434
AAA028E20.genome.CDS.1051,group01231
AAA028E20.genome.CDS.1052,group01232
AAA028E20.genome.CDS.1053,group01521
AAA028E20.genome.CDS.1714,group01013
AAA028E20.genome.CDS.1284,group05228
AAA028E20.genome.CDS.1287,group02914
AAA028E20.genome.CDS.1286,group04000
AAA028E20.genome.CDS.1281,group11675
AAA028E20.genome.CDS.1658,group00795
AAA028E20.genome.CDS.1283,group00959
AAA028E20.genome.CDS.516,group01060
AAA028E20.genome.CDS.1339,group11680
AAA028E20.genome.CDS.1710,group00342
AAA028E20.genome.CDS.1289,group00796
AAA028E20.genome.CDS.1288,group03232
AAA028E20.genome.CDS.456,group00616
AAA028E20.genome.CDS.1338,group00649
AAA028E20.genome.CDS.1692,group01284
AAA028E20.genome.CDS.1693,group01223
AAA028E20.genome.CDS.1690,group00073
AAA028E20.genome.CDS.1758,group00504
AAA028E20.genome.CDS.1696,group01481
AAA028E20.genome.CDS.1697,group01141
AAA028E20.genome.CDS.1694,group01196
AAA028E20.genome.CDS.1695,group00014
AAA028E20.genome.CDS.1021,group00810
AAA028E20.genome.CDS.1020,group00648
AAA028E20.genome.CDS.1751,group00266
AAA028E20.genome.CDS.1022,group00604
AAA028E20.genome.CDS.1025,group00403
AAA028E20.genome.CDS.1756,group01527
AAA028E20.genome.CDS.1027,group00443
AAA028E20.genome.CDS.1754,group01393
AAA028E20.genome.CDS.1179,group00861
AAA028E20.genome.CDS.1238,group00136
AAA028E20.genome.CDS.1071,group00551
AAA028E20.genome.CDS.1239,group00381
AAA028E20.genome.CDS.1450,group02587
AAA028E20.genome.CDS.1598,group11699
AAA028E20.genome.CDS.1452,group01092
AAA028E20.genome.CDS.1453,group11682
AAA028E20.genome.CDS.1454,group11681
AAA028E20.genome.CDS.1455,group02430
AAA028E20.genome.CDS.1456,group02244
AAA028E20.genome.CDS.1457,group01169
AAA028E20.genome.CDS.1458,group01228
AAA028E20.genome.CDS.1590,group01405
AAA028E20.genome.CDS.1593,group02539
AAA028E20.genome.CDS.1592,group00027
AAA028E20.genome.CDS.1595,group00935
AAA028E20.genome.CDS.1594,group00989
AAA028E20.genome.CDS.1597,group02920
AAA028E20.genome.CDS.1596,group00000
AAA028E20.genome.CDS.973,group00973
AAA028E20.genome.CDS.972,group00878
AAA028E20.genome.CDS.971,group00904
AAA028E20.genome.CDS.970,group01701
AAA028E20.genome.CDS.977,group01033
AAA028E20.genome.CDS.976,group00593
AAA028E20.genome.CDS.975,group00256
AAA028E20.genome.CDS.974,group00905
AAA028E20.genome.CDS.979,group01270
AAA028E20.genome.CDS.1761,group00310
AAA028E20.genome.CDS.1171,group00872
AAA028E20.genome.CDS.1079,group00347
AAA028E20.genome.CDS.1801,group00567
AAA028E20.genome.CDS.1729,group00193
AAA028E20.genome.CDS.1479,group00194
AAA028E20.genome.CDS.1768,group00690
AAA028E20.genome.CDS.1629,group00281
AAA028E20.genome.CDS.1628,group00214
AAA028E20.genome.CDS.1627,group00280
AAA028E20.genome.CDS.1626,group00409
AAA028E20.genome.CDS.1625,group00216
AAA028E20.genome.CDS.1624,group00864
AAA028E20.genome.CDS.1623,group01007
AAA028E20.genome.CDS.1622,group00573
AAA028E20.genome.CDS.1621,group00660
AAA028E20.genome.CDS.1620,group00605
AAA028E20.genome.CDS.1106,group00330
AAA028E20.genome.CDS.1412,group00946
AAA028E20.genome.CDS.1510,group01383
AAA028E20.genome.CDS.1513,group00327
AAA028E20.genome.CDS.1234,group00104
AAA028E20.genome.CDS.1235,group00106
AAA028E20.genome.CDS.1236,group00299
AAA028E20.genome.CDS.1237,group00657
AAA028E20.genome.CDS.1230,group00157
AAA028E20.genome.CDS.1231,group00158
AAA028E20.genome.CDS.1232,group00059
AAA028E20.genome.CDS.1233,group00853
AAA028E20.genome.CDS.1335,group00179
AAA028E20.genome.CDS.1334,group00180
AAA028E20.genome.CDS.1337,group00856
AAA028E20.genome.CDS.1336,group00531
AAA028E20.genome.CDS.1331,group03023
AAA028E20.genome.CDS.1330,group00238
AAA028E20.genome.CDS.1333,group03376
AAA028E20.genome.CDS.1332,group01106
AAA028E20.genome.CDS.1807,group00931
AAA028E20.genome.CDS.1806,group00642
AAA028E20.genome.CDS.1805,group00879
AAA028E20.genome.CDS.1804,group00127
AAA028E20.genome.CDS.1803,group00132
AAA028E20.genome.CDS.1802,group00155
AAA028E20.genome.CDS.1719,group00077
AAA028E20.genome.CDS.1800,group11703
AAA028E20.genome.CDS.1101,group11670
AAA028E20.genome.CDS.1808,group00993
AAA028E20.genome.CDS.295,group00444
AAA028E20.genome.CDS.1146,group00097
AAA028E20.genome.CDS.1241,group00362
AAA028E20.genome.CDS.1240,group00257
AAA028E20.genome.CDS.1243,group00425
AAA028E20.genome.CDS.1242,group00394
AAA028E20.genome.CDS.1245,group00306
AAA028E20.genome.CDS.1244,group00202
AAA028E20.genome.CDS.1247,group00382
AAA028E20.genome.CDS.1246,group00284
AAA028E20.genome.CDS.555,group00378
AAA028E20.genome.CDS.1248,group01000
AAA028E20.genome.CDS.1069,group00550
AAA028E20.genome.CDS.1483,group00387
AAA028E20.genome.CDS.1529,group00120
AAA028E20.genome.CDS.1481,group00137
AAA028E20.genome.CDS.1480,group00058
AAA028E20.genome.CDS.1487,group00315
AAA028E20.genome.CDS.1486,group00358
AAA028E20.genome.CDS.1485,group00448
AAA028E20.genome.CDS.1520,group11689
AAA028E20.genome.CDS.1521,group00003
AAA028E20.genome.CDS.1522,group00828
AAA028E20.genome.CDS.1488,group00359
AAA028E20.genome.CDS.1524,group00022
AAA028E20.genome.CDS.1525,group00546
AAA028E20.genome.CDS.1526,group00952
AAA028E20.genome.CDS.1527,group00040
AAA028E20.genome.CDS.161,group03877
AAA028E20.genome.CDS.1797,group11706
AAA028E20.genome.CDS.1796,group11707
AAA028E20.genome.CDS.1148,group00122
AAA028E20.genome.CDS.1794,group00109
AAA028E20.genome.CDS.1061,group00579
AAA028E20.genome.CDS.1060,group01234
AAA028E20.genome.CDS.1791,group00336
AAA028E20.genome.CDS.1062,group00596
AAA028E20.genome.CDS.1142,group00248
AAA028E20.genome.CDS.1143,group00986
AAA028E20.genome.CDS.1140,group00841
AAA028E20.genome.CDS.1141,group00398
AAA028E20.genome.CDS.1410,group00709
AAA028E20.genome.CDS.1068,group00393
AAA028E20.genome.CDS.1799,group11704
AAA028E20.genome.CDS.1145,group00062
AAA028E20.genome.CDS.1548,group00735
AAA028E20.genome.CDS.1098,group00794
AAA028E20.genome.CDS.1099,group01264
AAA028E20.genome.CDS.1090,group01037
AAA028E20.genome.CDS.1091,group00576
AAA028E20.genome.CDS.1092,group02196
AAA028E20.genome.CDS.1093,group00568
AAA028E20.genome.CDS.1094,group00001
AAA028E20.genome.CDS.1095,group00487
AAA028E20.genome.CDS.1096,group01089
AAA028E20.genome.CDS.1097,group00496
AAA028E20.genome.CDS.1249,group00363
AAA028E20.genome.CDS.1028,group00272
AAA028E20.genome.CDS.1792,group00601
AAA028E20.genome.CDS.1669,group00987
AAA028E20.genome.CDS.1668,group00524
AAA028E20.genome.CDS.1383,group03079
AAA028E20.genome.CDS.1663,group00221
AAA028E20.genome.CDS.1661,group00140
AAA028E20.genome.CDS.1660,group00026
AAA028E20.genome.CDS.1667,group00112
AAA028E20.genome.CDS.1666,group00661
AAA028E20.genome.CDS.1665,group00713
AAA028E20.genome.CDS.1664,group00153
AAA028E20.genome.CDS.489,group11685
AAA028E20.genome.CDS.938,group01132
AAA028E20.genome.CDS.937,group00006
AAA028E20.genome.CDS.936,group00289
AAA028E20.genome.CDS.935,group02474
AAA028E20.genome.CDS.934,group03227
AAA028E20.genome.CDS.933,group02909
AAA028E20.genome.CDS.932,group03395
AAA028E20.genome.CDS.931,group03394
AAA028E20.genome.CDS.930,group03544
AAA028E20.genome.CDS.1528,group00110
AAA028E20.genome.CDS.1482,group00348
AAA028E20.genome.CDS.1147,group00098
AAA028E20.genome.CDS.1469,group00207
AAA028E20.genome.CDS.1701,group11700
AAA028E20.genome.CDS.1702,group03499
AAA028E20.genome.CDS.1703,group11701
AAA028E20.genome.CDS.1704,group00020
AAA028E20.genome.CDS.1705,group00814
AAA028E20.genome.CDS.1706,group00653
AAA028E20.genome.CDS.1708,group00282
AAA028E20.genome.CDS.1709,group01171
AAA028E20.genome.CDS.1463,group00236
AAA028E20.genome.CDS.1462,group02245
AAA028E20.genome.CDS.1465,group00934
AAA028E20.genome.CDS.1464,group00761
AAA028E20.genome.CDS.1467,group03766
AAA028E20.genome.CDS.1466,group00242
AAA028E20.genome.CDS.988,group02218
AAA028E20.genome.CDS.982,group04962
AAA028E20.genome.CDS.983,group00936
AAA028E20.genome.CDS.980,group01220
AAA028E20.genome.CDS.981,group00971
AAA028E20.genome.CDS.986,group00608
AAA028E20.genome.CDS.987,group01570
AAA028E20.genome.CDS.984,group01555
AAA028E20.genome.CDS.985,group00843
AAA028E20.genome.CDS.1489,group00758
AAA028E20.genome.CDS.1523,group01019
AAA028E20.genome.CDS.1589,group01457
AAA028E20.genome.CDS.1842,group00035
AAA028E20.genome.CDS.1841,group00035
AAA028E20.genome.CDS.1840,group00552
AAA028E20.genome.CDS.1449,group11683
AAA028E20.genome.CDS.1638,group00087
AAA028E20.genome.CDS.1362,group00980
AAA028E20.genome.CDS.1363,group00176
AAA028E20.genome.CDS.1360,group00442
AAA028E20.genome.CDS.1361,group00753
AAA028E20.genome.CDS.1366,group00052
AAA028E20.genome.CDS.562,group00449
AAA028E20.genome.CDS.1364,group00785
AAA028E20.genome.CDS.1365,group00730
AAA028E20.genome.CDS.1368,group01002
AAA028E20.genome.CDS.1369,group00668
AAA028E20.genome.CDS.1564,group00396
AAA028E20.genome.CDS.1565,group01366
AAA028E20.genome.CDS.1566,group00956
AAA028E20.genome.CDS.1567,group00818
AAA028E20.genome.CDS.1560,group00339
AAA028E20.genome.CDS.1208,group00252
AAA028E20.genome.CDS.1562,group01025
AAA028E20.genome.CDS.1563,group00930
AAA028E20.genome.CDS.1205,group00526
AAA028E20.genome.CDS.1204,group00966
AAA028E20.genome.CDS.1207,group00376
AAA028E20.genome.CDS.1568,group00979
AAA028E20.genome.CDS.1200,group00748
AAA028E20.genome.CDS.1203,group00553
AAA028E20.genome.CDS.1573,group00305
AAA028E20.genome.CDS.1572,group00234
AAA028E20.genome.CDS.1190,group02031
AAA028E20.genome.CDS.1262,group00481
AAA028E20.genome.CDS.1511,group00224
AAA028E20.genome.CDS.1107,group01068
AAA028E20.genome.CDS.1104,group00371
AAA028E20.genome.CDS.1105,group00213
AAA028E20.genome.CDS.1515,group00815
AAA028E20.genome.CDS.1103,group00247
AAA028E20.genome.CDS.1100,group00102
AAA028E20.genome.CDS.1516,group00232
AAA028E20.genome.CDS.1519,group00561
AAA028E20.genome.CDS.1518,group00161
AAA028E20.genome.CDS.1108,group01096
AAA028E20.genome.CDS.1109,group00514
AAA028E20.genome.CDS.1039,group00015
AAA028E20.genome.CDS.1272,group00011
AAA028E20.genome.CDS.1273,group00716
AAA028E20.genome.CDS.1198,group00955
AAA028E20.genome.CDS.1195,group01331
AAA028E20.genome.CDS.1194,group01251
AAA028E20.genome.CDS.1197,group01330
AAA028E20.genome.CDS.1191,group11672
AAA028E20.genome.CDS.1647,group00667
AAA028E20.genome.CDS.1193,group00009
AAA028E20.genome.CDS.1192,group11671
AAA028E20.genome.CDS.1296,group00983
AAA028E20.genome.CDS.1297,group01665
AAA028E20.genome.CDS.1294,group00638
AAA028E20.genome.CDS.1295,group00169
AAA028E20.genome.CDS.1292,group00808
AAA028E20.genome.CDS.1293,group00340
AAA028E20.genome.CDS.1290,group03474
AAA028E20.genome.CDS.1291,group00102
AAA028E20.genome.CDS.1746,group00355
AAA028E20.genome.CDS.1298,group00978
AAA028E20.genome.CDS.1038,group00118
AAA028E20.genome.CDS.1031,group00388
AAA028E20.genome.CDS.1748,group00370
AAA028E20.genome.CDS.1749,group01030
AAA028E20.genome.CDS.1744,group00703
AAA028E20.genome.CDS.1745,group00999
AAA028E20.genome.CDS.1030,group00408
AAA028E20.genome.CDS.1747,group00277
AAA028E20.genome.CDS.1036,group00996
AAA028E20.genome.CDS.1741,group00064
AAA028E20.genome.CDS.1034,group00269
AAA028E20.genome.CDS.1743,group00677
AAA028E20.genome.CDS.1742,group00276
AAA028E20.genome.CDS.1035,group00780
AAA028E20.genome.CDS.1223,group00095
AAA028E20.genome.CDS.1649,group00622
AAA028E20.genome.CDS.1648,group00875
AAA028E20.genome.CDS.1425,group00037
AAA028E20.genome.CDS.1424,group00793
AAA028E20.genome.CDS.1588,group01533
AAA028E20.genome.CDS.1426,group00337
AAA028E20.genome.CDS.1421,group00801
AAA028E20.genome.CDS.1420,group02805
AAA028E20.genome.CDS.1423,group00643
AAA028E20.genome.CDS.1422,group00669
AAA028E20.genome.CDS.1582,group01321
AAA028E20.genome.CDS.1583,group04131
AAA028E20.genome.CDS.1580,group11695
AAA028E20.genome.CDS.1581,group00716
AAA028E20.genome.CDS.1429,group01144
AAA028E20.genome.CDS.1428,group01088
AAA028E20.genome.CDS.1584,group03619
AAA028E20.genome.CDS.1585,group03156
AAA028E20.genome.CDS.946,group00750
AAA028E20.genome.CDS.947,group01093
AAA028E20.genome.CDS.944,group00654
AAA028E20.genome.CDS.942,group00114
AAA028E20.genome.CDS.943,group00578
AAA028E20.genome.CDS.940,group00010
AAA028E20.genome.CDS.941,group00049
AAA028E20.genome.CDS.1067,group00374
AAA028E20.genome.CDS.948,group00226
AAA028E20.genome.CDS.949,group00497
AAA028E20.genome.CDS.1066,group01028
AAA028E20.genome.CDS.1793,group00772
AAA028E20.genome.CDS.1342,group00786
AAA028E20.genome.CDS.1419,group00666
AAA028E20.genome.CDS.54,group00629
AAA028E20.genome.CDS.1343,group01011
AAA028E20.genome.CDS.1063,group00734
AAA028E20.genome.CDS.1790,group00040
AAA028E20.genome.CDS.1478,group00300
AAA028E20.genome.CDS.1739,group00068
AAA028E20.genome.CDS.1738,group00047
AAA028E20.genome.CDS.1632,group00285
AAA028E20.genome.CDS.1633,group00894
AAA028E20.genome.CDS.1634,group00074
AAA028E20.genome.CDS.1635,group00802
AAA028E20.genome.CDS.1636,group00947
AAA028E20.genome.CDS.1415,group00558
AAA028E20.genome.CDS.1731,group00630
AAA028E20.genome.CDS.1639,group00103
AAA028E20.genome.CDS.1733,group00143
AAA028E20.genome.CDS.1732,group00485
AAA028E20.genome.CDS.1735,group00456
AAA028E20.genome.CDS.1734,group00571
AAA028E20.genome.CDS.1737,group00189
AAA028E20.genome.CDS.1736,group00476
AAA028E20.genome.CDS.1018,group00998
AAA028E20.genome.CDS.1417,group02017
AAA028E20.genome.CDS.280,group01793
AAA028E20.genome.CDS.286,group00800
AAA028E20.genome.CDS.1144,group00072
AAA028E20.genome.CDS.885,group00435
AAA028E20.genome.CDS.1329,group00914
AAA028E20.genome.CDS.1326,group01009
AAA028E20.genome.CDS.1327,group00836
AAA028E20.genome.CDS.1324,group11677
AAA028E20.genome.CDS.1798,group11705
AAA028E20.genome.CDS.1026,group00212
AAA028E20.genome.CDS.1323,group11678
AAA028E20.genome.CDS.1320,group00627
AAA028E20.genome.CDS.1321,group00205
AAA028E20.genome.CDS.1476,group00349
AAA028E20.genome.CDS.1818,group00460
AAA028E20.genome.CDS.1819,group00440
AAA028E20.genome.CDS.1810,group00806
AAA028E20.genome.CDS.1811,group00652
AAA028E20.genome.CDS.1812,group00767
AAA028E20.genome.CDS.1813,group01149
AAA028E20.genome.CDS.1814,group00560
AAA028E20.genome.CDS.1815,group00402
AAA028E20.genome.CDS.1816,group02547
AAA028E20.genome.CDS.1817,group00433
AAA028E20.genome.CDS.1252,group01178
AAA028E20.genome.CDS.1253,group00482
AAA028E20.genome.CDS.1399,group00874
AAA028E20.genome.CDS.1251,group00621
AAA028E20.genome.CDS.1256,group01027
AAA028E20.genome.CDS.1257,group01055
AAA028E20.genome.CDS.1254,group00357
AAA028E20.genome.CDS.1255,group01290
AAA028E20.genome.CDS.1393,group00917
AAA028E20.genome.CDS.1392,group00845
AAA028E20.genome.CDS.1258,group01273
AAA028E20.genome.CDS.1390,group00825
AAA028E20.genome.CDS.1397,group00820
AAA028E20.genome.CDS.1396,group00896
AAA028E20.genome.CDS.1395,group00897
AAA028E20.genome.CDS.1394,group00895
AAA028E20.genome.CDS.1494,group00736
AAA028E20.genome.CDS.1495,group00799
AAA028E20.genome.CDS.1496,group00620
AAA028E20.genome.CDS.1497,group11688
AAA028E20.genome.CDS.1559,group01134
AAA028E20.genome.CDS.1491,group00233
AAA028E20.genome.CDS.1492,group00385
AAA028E20.genome.CDS.1493,group00890
AAA028E20.genome.CDS.1555,group03500
AAA028E20.genome.CDS.1554,group00311
AAA028E20.genome.CDS.1557,group04274
AAA028E20.genome.CDS.1556,group00671
AAA028E20.genome.CDS.1551,group01918
AAA028E20.genome.CDS.1550,group00858
AAA028E20.genome.CDS.1553,group00787
AAA028E20.genome.CDS.1552,group00817
AAA028E20.genome.CDS.277,group01375
AAA028E20.genome.CDS.1427,group01031
AAA028E20.genome.CDS.405,group01022
AAA028E20.genome.CDS.404,group01090
AAA028E20.genome.CDS.1514,group00967
